Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,DepositChecking,1764751700.145632,4601,0,1
3,DepositChecking,1764751700.155351,4347,0,1
3,DepositChecking,1764751700.165347,4527,0,1
6,WriteCheck,1764751700.175386,5776,0,1
4,SendPayment,1764751700.185448,5781,0,1
2,Balance,1764751700.195508,2927,0,1
3,DepositChecking,1764751700.205402,4021,0,1
4,SendPayment,1764751700.215435,5232,0,1
3,DepositChecking,1764751700.225454,3628,0,1
2,Balance,1764751700.235392,2039,0,1
1,Amalgamate,1764751700.245369,5906,0,1
6,WriteCheck,1764751700.255399,5270,0,1
2,Balance,1764751700.265311,1205,0,1
1,Amalgamate,1764751700.275334,5337,0,1
6,WriteCheck,1764751700.285537,4271,0,1
6,WriteCheck,1764751700.295323,4331,0,1
1,Amalgamate,1764751700.305343,4681,0,1
4,SendPayment,1764751700.315312,4757,0,1
6,WriteCheck,1764751700.325475,4499,0,1
1,Amalgamate,1764751700.335368,5424,0,1
3,DepositChecking,1764751700.345316,4049,0,1
4,SendPayment,1764751700.355297,4417,0,1
1,Amalgamate,1764751700.365320,5188,0,1
2,Balance,1764751700.375409,1631,0,1
1,Amalgamate,1764751700.385365,5583,0,1
4,SendPayment,1764751700.395340,5567,0,1
1,Amalgamate,1764751700.405394,4795,0,1
3,DepositChecking,1764751700.415491,4010,0,1
5,TransactSavings,1764751700.425519,4302,0,1
4,SendPayment,1764751700.435319,3866,0,1
1,Amalgamate,1764751700.445357,4580,0,1
5,TransactSavings,1764751700.455418,4563,0,1
1,Amalgamate,1764751700.465607,4309,0,1
2,Balance,1764751700.475307,1528,0,1
5,TransactSavings,1764751700.485364,4269,0,1
6,WriteCheck,1764751700.495340,4211,0,1
1,Amalgamate,1764751700.505310,4599,0,1
1,Amalgamate,1764751700.515372,4461,0,1
3,DepositChecking,1764751700.525402,3388,0,1
5,TransactSavings,1764751700.535353,4252,0,1
1,Amalgamate,1764751700.545362,4911,0,1
4,SendPayment,1764751700.555352,4092,0,1
5,TransactSavings,1764751700.565316,3868,0,1
6,WriteCheck,1764751700.575391,4456,0,1
2,Balance,1764751700.585417,1206,0,1
5,TransactSavings,1764751700.595283,4129,0,1
3,DepositChecking,1764751700.605370,4010,0,1
2,Balance,1764751700.615530,1453,0,1
1,Amalgamate,1764751700.625358,4194,0,1
3,DepositChecking,1764751700.635402,4093,0,1
4,SendPayment,1764751700.645297,4503,0,1
1,Amalgamate,1764751700.655294,4484,0,1
6,WriteCheck,1764751700.665300,4375,0,1
4,SendPayment,1764751700.675316,3906,0,1
1,Amalgamate,1764751700.685348,4003,0,1
6,WriteCheck,1764751700.695396,4474,0,1
5,TransactSavings,1764751700.705378,4334,0,1
1,Amalgamate,1764751700.715371,4531,0,1
6,WriteCheck,1764751700.725280,4529,0,1
2,Balance,1764751700.735332,1758,0,1
6,WriteCheck,1764751700.745456,4774,0,1
4,SendPayment,1764751700.755404,4786,0,1
6,WriteCheck,1764751700.765386,3907,0,1
5,TransactSavings,1764751700.775476,4032,0,1
4,SendPayment,1764751700.785379,4586,0,1
1,Amalgamate,1764751700.795299,3915,0,1
3,DepositChecking,1764751700.805417,3918,0,1
4,SendPayment,1764751700.815321,3474,0,1
2,Balance,1764751700.825505,1297,0,1
5,TransactSavings,1764751700.835343,3457,0,1
3,DepositChecking,1764751700.845326,4033,0,1
4,SendPayment,1764751700.855402,8492,0,1
2,Balance,1764751700.865481,1677,0,1
4,SendPayment,1764751700.875558,3979,0,1
4,SendPayment,1764751700.885313,4452,0,1
3,DepositChecking,1764751700.895299,3207,0,1
