Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.200,4.295,3.481,3.947,4.178,4.563,4.911,5.424,6.288,6.288,0.233
5,15.600,5.608,3.362,3.845,4.121,4.672,5.317,5.533,58.199,58.199,0.178
10,15.200,5.734,3.099,3.916,4.257,4.600,5.516,7.145,101.401,101.401,0.174
15,12.600,6.436,3.269,3.885,4.248,7.127,9.298,11.596,57.023,57.023,0.155
20,15.200,10.716,6.215,7.432,8.077,9.743,12.550,18.481,121.693,121.693,0.093
25,12.800,10.485,6.606,7.892,8.590,9.534,10.602,11.073,120.129,120.129,0.095
30,14.200,9.180,6.821,8.107,8.854,9.872,11.604,13.186,14.708,14.708,0.109
35,15.600,9.084,6.590,7.190,7.556,8.359,9.723,11.444,67.943,67.943,0.110
40,17.800,9.162,5.832,7.246,7.654,8.116,9.613,11.975,113.928,113.928,0.109
45,14.000,11.133,6.573,7.713,8.402,9.510,11.794,16.882,107.332,107.332,0.090
50,15.800,10.170,6.444,7.236,7.720,8.412,11.708,18.411,62.720,62.720,0.098
55,17.000,9.251,6.314,6.913,7.605,8.340,9.738,11.481,122.401,122.401,0.108
