Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.600,1.185,0.759,0.972,1.098,1.297,1.574,1.677,2.927,2.927,0.844
5,14.600,1.109,0.722,0.889,1.023,1.232,1.536,1.804,1.905,1.905,0.902
10,14.600,1.027,0.708,0.838,0.924,1.097,1.269,1.547,2.917,2.917,0.974
15,15.400,1.856,0.761,0.977,1.150,2.449,3.131,6.175,9.150,9.150,0.539
20,14.200,4.777,0.641,0.911,1.443,5.470,9.964,11.853,61.912,61.912,0.209
25,15.200,3.643,0.526,0.909,1.183,5.386,6.319,7.801,58.156,58.156,0.275
30,16.000,3.508,0.715,0.978,1.955,5.646,6.560,7.896,10.891,10.891,0.285
35,15.200,3.346,0.621,0.870,4.752,5.345,6.156,7.116,10.037,10.037,0.299
40,13.800,3.335,0.629,0.774,1.725,5.235,6.378,7.202,13.799,13.799,0.300
45,15.400,4.228,0.616,0.969,4.755,5.608,6.876,7.453,63.114,63.114,0.237
50,11.200,5.183,0.626,0.838,4.809,6.062,8.020,13.777,63.880,63.880,0.193
55,15.600,4.975,0.672,0.927,4.788,5.378,6.787,8.600,61.745,61.745,0.201
