Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.200,3.632,2.936,3.316,3.546,3.927,4.100,4.357,5.224,5.224,0.275
5,16.800,3.674,2.977,3.329,3.509,3.835,4.406,4.795,6.305,6.305,0.272
10,15.000,4.282,2.808,3.198,3.565,3.879,4.368,5.010,50.654,50.654,0.234
15,16.400,4.616,2.465,3.208,3.420,4.534,8.108,10.062,12.652,12.652,0.217
20,13.600,10.636,4.854,6.612,7.331,8.309,10.708,25.074,84.099,84.099,0.094
25,14.200,12.985,6.300,7.173,8.058,9.238,10.631,15.598,228.767,228.767,0.077
30,15.000,8.909,6.503,7.704,8.406,9.738,10.964,11.553,21.353,21.353,0.112
35,13.400,8.151,5.636,6.950,7.382,8.398,9.602,11.657,23.272,23.272,0.123
40,15.200,8.722,4.989,6.840,7.101,8.021,9.763,13.833,62.853,62.853,0.115
45,16.200,9.456,5.536,7.080,8.038,8.955,10.294,11.426,63.439,63.439,0.106
50,16.200,8.004,6.197,6.953,7.535,8.745,9.586,10.487,18.393,18.393,0.125
55,15.800,7.237,5.248,6.600,6.873,7.544,8.797,9.500,13.452,13.452,0.138
