Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,24.200,4.061,3.239,3.715,3.907,4.317,4.702,4.972,5.781,8.492,0.246
5,24.200,4.844,3.183,3.651,3.947,4.193,4.503,5.161,48.487,56.226,0.206
10,24.400,4.204,2.967,3.552,3.815,4.236,4.870,5.144,9.100,25.805,0.238
15,25.200,6.579,2.882,3.612,4.101,7.136,10.328,11.819,46.444,96.593,0.152
20,30.600,10.236,5.504,7.106,7.713,9.035,11.520,13.862,74.215,118.259,0.098
25,27.400,9.515,5.722,7.456,8.486,9.559,11.593,16.509,21.026,66.370,0.105
30,22.600,9.813,6.683,7.711,8.364,9.778,11.752,16.189,24.679,63.624,0.102
35,21.400,8.640,6.645,7.288,7.695,8.547,10.003,11.034,22.905,58.321,0.116
40,23.000,9.891,6.562,7.061,7.563,8.391,10.244,11.968,61.007,117.722,0.101
45,25.600,9.429,6.447,7.384,8.070,8.955,10.725,13.562,64.333,75.386,0.106
50,25.800,10.296,6.188,7.064,7.790,8.787,10.524,12.333,68.940,122.343,0.097
55,21.000,7.689,6.294,6.873,7.321,8.219,9.327,9.716,11.745,11.754,0.130
