Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.800,3.863,3.257,3.590,3.803,4.122,4.302,4.563,5.131,5.131,0.259
5,15.200,4.691,3.127,3.509,3.758,4.177,4.811,6.665,56.306,56.306,0.213
10,15.200,3.777,3.061,3.395,3.625,3.994,4.385,5.388,5.791,5.791,0.265
15,16.200,5.498,2.834,3.445,3.745,6.957,8.851,10.344,43.886,43.886,0.182
20,14.400,9.495,5.609,6.898,7.422,8.783,10.945,22.896,65.111,65.111,0.105
25,14.200,9.724,5.261,7.175,8.145,9.609,10.461,13.971,70.275,70.275,0.103
30,18.200,10.241,5.779,7.731,8.562,9.343,10.877,11.932,77.029,77.029,0.098
35,16.600,9.104,6.611,7.170,7.637,8.500,9.654,13.644,64.215,64.215,0.110
40,15.000,8.235,5.228,6.914,7.257,7.956,8.499,8.778,66.331,66.331,0.121
45,12.800,8.324,6.373,7.527,8.000,9.158,9.787,9.938,14.805,14.805,0.120
50,14.200,16.822,6.332,7.145,8.129,9.574,11.915,60.595,327.431,327.431,0.059
55,14.800,9.023,4.807,6.708,7.199,8.083,9.446,10.862,72.173,72.173,0.111
