Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.200,4.070,3.169,3.826,3.983,4.331,4.529,4.663,5.776,5.776,0.246
5,13.600,4.901,3.277,3.676,3.936,4.415,4.949,5.996,56.343,56.343,0.204
10,15.600,4.025,3.113,3.565,3.800,4.285,4.632,4.931,9.126,9.126,0.248
15,14.200,5.672,2.631,3.566,4.047,6.656,8.691,9.991,29.997,29.997,0.176
20,12.000,8.443,5.341,7.242,7.897,9.233,11.360,13.467,18.432,18.432,0.118
25,15.400,11.982,5.939,7.402,8.233,9.699,11.295,60.375,78.917,78.917,0.083
30,14.200,9.660,6.750,7.645,8.350,9.440,11.896,13.546,61.212,61.212,0.104
35,16.600,9.689,6.370,7.139,7.603,8.540,10.544,17.995,67.762,67.762,0.103
40,17.000,7.842,6.004,7.027,7.382,8.197,8.995,9.529,18.499,18.499,0.128
45,14.800,8.572,6.537,7.470,8.280,9.022,10.537,11.589,17.070,17.070,0.117
50,16.800,8.407,6.341,7.144,7.966,8.698,9.986,11.394,23.530,23.530,0.119
55,17.000,7.644,6.070,6.743,6.996,7.521,8.548,11.090,21.235,21.235,0.131
