Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.200,3.646,0.759,3.495,3.847,4.178,4.563,4.831,5.776,8.492,0.274
5,100.000,4.206,0.722,3.386,3.763,4.151,4.800,5.238,54.732,58.199,0.238
10,100.000,3.891,0.708,3.324,3.715,4.187,4.694,5.211,9.126,101.401,0.257
15,100.000,5.208,0.761,3.322,3.757,6.243,8.936,11.172,29.997,96.593,0.192
20,100.000,9.266,0.641,6.782,7.574,8.895,11.330,14.660,71.040,121.693,0.108
25,99.200,9.650,0.526,7.079,7.934,9.319,11.007,14.187,70.275,228.767,0.104
30,100.200,8.637,0.715,7.300,8.231,9.324,11.128,12.414,21.555,77.029,0.116
35,98.800,8.084,0.621,6.955,7.411,8.327,9.629,11.036,58.321,67.943,0.124
40,101.800,8.114,0.629,6.816,7.278,8.014,8.995,10.915,59.291,117.722,0.123
45,98.800,8.593,0.616,6.988,7.915,8.892,10.052,11.765,63.439,107.332,0.116
50,100.000,9.942,0.626,6.904,7.650,8.694,10.405,12.640,68.940,327.431,0.101
55,101.200,7.650,0.672,6.614,6.982,7.860,9.073,9.900,21.235,122.401,0.131
