Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,101,101.000,908,3868,4211,3982,4563,5188,5567,5906,8492
1,100,100.000,875,3654,3927,3746,4277,4658,4831,5224,5224
2,100,100.000,927,3470,3689,3468,4028,4337,4572,6119,6119
3,100,100.000,759,3332,3670,3495,3998,4328,4507,6288,6288
4,100,100.000,793,3458,3761,3534,4067,4362,4535,5472,5472
5,100,100.000,777,3288,3674,3418,4116,4530,4841,11091,11091
6,100,100.000,726,3442,3712,4573,4074,4672,5440,56343,56343
7,100,100.000,787,3313,3635,3984,3963,4293,4983,56306,56306
8,100,100.000,722,3481,3773,4009,4144,4677,5090,48487,48487
9,100,100.000,1130,3717,4088,5042,4693,5317,5996,58199,58199
10,100,100.000,752,3327,3658,3363,4072,4380,4600,5086,5086
11,100,100.000,708,3306,3702,5228,4272,5141,9126,101401,101401
12,100,100.000,716,3324,3711,3462,4090,4478,4814,7010,7010
13,100,100.000,825,3608,4121,4080,4790,5388,5791,9100,9100
14,100,100.000,744,3143,3523,3321,3920,4311,4392,6322,6322
15,95,95.000,856,3176,3542,4099,3997,4457,4915,57023,57023
16,105,105.000,934,3335,3590,3509,3976,4199,4597,5325,6480
17,100,100.000,881,3133,3516,3810,3839,4639,5847,46444,46444
18,97,97.000,870,3191,3842,5648,7131,9434,11172,96593,96593
19,103,103.000,761,6672,7752,8902,9543,12652,19094,29997,43886
20,100,100.000,767,6932,7581,9683,9028,10721,13201,74215,74215
21,82,82.000,972,6612,7696,11099,8916,13467,18708,118259,118259
22,100,100.000,661,6582,7509,9949,8989,11520,26832,121693,121693
23,114,114.000,641,6497,7257,7130,8099,9035,10483,25074,31980
24,104,104.000,825,7210,8106,9103,9994,12037,13385,22896,65111
25,95,95.000,811,6724,8203,8390,9806,11257,13971,58156,58156
26,41,41.000,678,6632,8344,24199,17553,67127,78917,228767,228767
27,137,137.000,526,6812,7513,7302,8436,9349,10452,15598,24753
28,103,103.000,578,7175,7853,9660,9002,10252,12302,66370,70275
29,120,120.000,978,7650,8544,8346,9699,10979,11352,12746,23519
30,104,104.000,974,7541,8316,9066,9778,11900,13787,21353,63624
31,100,100.000,838,7725,8602,9744,9841,11482,11743,77029,77029
32,100,100.000,967,7818,8570,8860,9788,11436,13310,16465,16465
33,100,100.000,715,6851,7694,7668,8573,9383,11423,61212,61212
34,97,97.000,734,7085,7796,7804,8998,11009,13546,21555,21555
35,103,103.000,824,7015,7556,7613,8370,9135,10000,11374,39967
36,98,98.000,837,7086,7566,7639,8674,10037,11034,22994,22994
37,100,100.000,621,6946,7298,8507,8383,10003,12338,64215,64215
38,102,102.000,656,6913,7378,7604,8239,9389,10534,12805,32251
39,91,91.000,645,6867,7389,9164,7973,10155,19029,67943,67943
40,109,109.000,655,6717,7168,6806,7956,8699,9412,10986,11557
41,95,95.000,690,6883,7184,8508,7879,8779,17121,66331,66331
42,105,105.000,657,6767,7436,8817,7955,8680,10915,61007,117722
43,97,97.000,678,6879,7576,9017,8499,10393,13833,113928,113928
44,103,103.000,629,6808,7312,7566,8014,8983,9808,16683,59291
45,100,100.000,853,7525,8259,8186,9157,10406,13525,17070,17070
46,100,100.000,695,6728,7803,8290,8519,9310,10294,107332,107332
47,95,95.000,761,7057,7763,8423,8856,10018,11426,70911,70911
48,105,105.000,616,6691,7463,8773,8414,9607,11512,63439,75386
49,94,94.000,989,7432,8132,9316,9323,11274,11794,64333,64333
50,92,92.000,744,6945,7626,10846,8920,12288,18500,114700,114700
51,86,86.000,742,7106,7955,11528,8818,10063,10695,327431,327431
52,92,92.000,705,7018,7606,10873,8561,10908,14049,122343,122343
53,132,132.000,626,6846,7614,7553,8576,9478,10405,11064,11134
54,98,98.000,767,6633,7529,10040,8504,11417,23530,68940,68940
55,106,106.000,781,6750,7195,7120,8300,9327,9900,13452,16622
56,100,100.000,696,6640,7017,6815,7718,9392,10862,13996,13996
57,100,100.000,755,6425,6895,8538,7676,9223,10584,72173,72173
58,91,91.000,674,6659,6969,8498,7946,9212,11276,122401,122401
59,109,109.000,672,6571,6841,7406,7754,8787,9575,14777,61745
