Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,GetAccessData,1764750700.670936,5072,0,1
4,GetSubscriberData,1764750700.676054,1888,0,1
3,GetNewDestination,1764750700.677951,2133,0,1
6,UpdateLocation,1764750700.680094,5538,0,1
2,GetAccessData,1764750700.685645,1055,0,1
2,GetAccessData,1764750700.686712,829,0,1
4,GetSubscriberData,1764750700.687551,1247,0,1
6,UpdateLocation,1764750700.688808,4206,0,1
4,GetSubscriberData,1764750700.693032,1185,0,1
2,GetAccessData,1764750700.694227,853,0,1
4,GetSubscriberData,1764750700.695087,910,0,1
4,GetSubscriberData,1764750700.696002,1250,0,1
2,GetAccessData,1764750700.697260,1006,0,1
2,GetAccessData,1764750700.698273,618,0,1
4,GetSubscriberData,1764750700.698900,656,0,1
4,GetSubscriberData,1764750700.699565,639,0,1
2,GetAccessData,1764750700.700212,583,0,1
2,GetAccessData,1764750700.700802,601,0,1
5,InsertCallForwarding,1764750700.701419,25823,0,1
2,GetAccessData,1764750700.727257,930,0,1
3,GetNewDestination,1764750700.728202,1243,0,1
6,UpdateLocation,1764750700.729459,3786,0,1
2,GetAccessData,1764750700.733269,616,0,1
2,GetAccessData,1764750700.733892,577,0,1
4,GetSubscriberData,1764750700.734479,530,0,1
4,GetSubscriberData,1764750700.735024,510,0,1
2,GetAccessData,1764750700.735539,561,0,1
4,GetSubscriberData,1764750700.736108,640,0,1
6,UpdateLocation,1764750700.736755,4200,0,1
4,GetSubscriberData,1764750700.740967,582,0,1
2,GetAccessData,1764750700.741556,395,0,1
2,GetAccessData,1764750700.741959,604,0,1
3,GetNewDestination,1764750700.742583,1190,0,1
6,UpdateLocation,1764750700.743779,3574,0,1
4,GetSubscriberData,1764750700.747369,795,0,1
3,GetNewDestination,1764750700.748175,1260,0,1
6,UpdateLocation,1764750700.749445,3550,0,1
4,GetSubscriberData,1764750700.753014,537,0,1
2,GetAccessData,1764750700.753560,602,0,1
3,GetNewDestination,1764750700.754171,1424,0,1
6,UpdateLocation,1764750700.755602,3250,0,1
2,GetAccessData,1764750700.758865,601,0,1
4,GetSubscriberData,1764750700.759474,703,0,1
6,UpdateLocation,1764750700.760224,3112,0,1
4,GetSubscriberData,1764750700.763371,650,0,1
4,GetSubscriberData,1764750700.764031,609,0,1
4,GetSubscriberData,1764750700.764647,511,0,1
4,GetSubscriberData,1764750700.765165,659,0,1
4,GetSubscriberData,1764750700.765832,498,0,1
2,GetAccessData,1764750700.766339,465,0,1
4,GetSubscriberData,1764750700.766811,647,0,1
4,GetSubscriberData,1764750700.767463,620,0,1
4,GetSubscriberData,1764750700.768094,595,0,1
4,GetSubscriberData,1764750700.768695,497,0,1
4,GetSubscriberData,1764750700.769200,484,0,1
2,GetAccessData,1764750700.769690,422,0,1
6,UpdateLocation,1764750700.770116,3043,0,1
4,GetSubscriberData,1764750700.773168,627,0,1
4,GetSubscriberData,1764750700.773804,472,0,1
4,GetSubscriberData,1764750700.774281,593,0,1
4,GetSubscriberData,1764750700.774882,430,0,1
2,GetAccessData,1764750700.775318,398,0,1
4,GetSubscriberData,1764750700.775722,361,0,1
4,GetSubscriberData,1764750700.776088,542,0,1
4,GetSubscriberData,1764750700.776665,537,0,1
2,GetAccessData,1764750700.777212,580,0,1
7,UpdateSubscriberData,1764750700.777801,3548,0,1
3,GetNewDestination,1764750700.781357,496,0,1
4,GetSubscriberData,1764750700.781858,599,0,1
2,GetAccessData,1764750700.782466,469,0,1
2,GetAccessData,1764750700.782943,625,0,1
3,GetNewDestination,1764750700.783577,523,0,1
2,GetAccessData,1764750700.784105,627,0,1
4,GetSubscriberData,1764750700.784740,706,0,1
2,GetAccessData,1764750700.785453,603,0,1
6,UpdateLocation,1764750700.786065,3508,0,1
2,GetAccessData,1764750700.789584,659,0,1
4,GetSubscriberData,1764750700.790251,602,0,1
2,GetAccessData,1764750700.790861,469,0,1
2,GetAccessData,1764750700.791337,371,0,1
2,GetAccessData,1764750700.791714,433,0,1
4,GetSubscriberData,1764750700.792152,709,0,1
4,GetSubscriberData,1764750700.792868,630,0,1
2,GetAccessData,1764750700.793512,486,0,1
2,GetAccessData,1764750700.794004,434,0,1
6,UpdateLocation,1764750700.794445,2916,0,1
2,GetAccessData,1764750700.797370,509,0,1
6,UpdateLocation,1764750700.797888,2828,0,1
3,GetNewDestination,1764750700.800726,490,0,1
4,GetSubscriberData,1764750700.801221,553,0,1
4,GetSubscriberData,1764750700.801781,438,0,1
3,GetNewDestination,1764750700.802225,515,0,1
3,GetNewDestination,1764750700.802749,667,0,1
7,UpdateSubscriberData,1764750700.803440,3175,0,1
2,GetAccessData,1764750700.806624,544,0,1
4,GetSubscriberData,1764750700.807177,609,0,1
6,UpdateLocation,1764750700.807792,2896,0,1
4,GetSubscriberData,1764750700.810696,497,0,1
4,GetSubscriberData,1764750700.811201,390,0,1
4,GetSubscriberData,1764750700.811598,417,0,1
4,GetSubscriberData,1764750700.812020,391,0,1
6,UpdateLocation,1764750700.812417,2954,0,1
4,GetSubscriberData,1764750700.815380,515,0,1
2,GetAccessData,1764750700.815905,575,0,1
4,GetSubscriberData,1764750700.816490,551,0,1
2,GetAccessData,1764750700.817049,508,0,1
2,GetAccessData,1764750700.817565,569,0,1
6,UpdateLocation,1764750700.818141,2872,0,1
5,InsertCallForwarding,1764750700.821022,17522,0,1
6,UpdateLocation,1764750700.838563,3338,0,1
2,GetAccessData,1764750700.841915,549,0,1
2,GetAccessData,1764750700.842470,524,0,1
4,GetSubscriberData,1764750700.843005,492,0,1
4,GetSubscriberData,1764750700.843503,384,0,1
2,GetAccessData,1764750700.843894,495,0,1
6,UpdateLocation,1764750700.844395,2889,0,1
2,GetAccessData,1764750700.847294,625,0,1
4,GetSubscriberData,1764750700.847927,518,0,1
2,GetAccessData,1764750700.848451,474,0,1
4,GetSubscriberData,1764750700.848934,450,0,1
3,GetNewDestination,1764750700.849391,521,0,1
2,GetAccessData,1764750700.849921,451,0,1
4,GetSubscriberData,1764750700.850379,481,0,1
2,GetAccessData,1764750700.850866,388,0,1
2,GetAccessData,1764750700.851261,388,0,1
1,DeleteCallForwarding,1764750700.851654,1330,0,1
4,GetSubscriberData,1764750700.852994,458,0,1
6,UpdateLocation,1764750700.853509,3189,0,1
3,GetNewDestination,1764750700.856762,503,0,1
4,GetSubscriberData,1764750700.857274,495,0,1
4,GetSubscriberData,1764750700.857777,508,0,1
4,GetSubscriberData,1764750700.858293,408,0,1
2,GetAccessData,1764750700.858708,432,0,1
6,UpdateLocation,1764750700.859149,2919,0,1
2,GetAccessData,1764750700.862077,447,0,1
3,GetNewDestination,1764750700.862531,516,0,1
4,GetSubscriberData,1764750700.863054,511,0,1
4,GetSubscriberData,1764750700.863572,351,0,1
4,GetSubscriberData,1764750700.863929,368,0,1
2,GetAccessData,1764750700.864303,487,0,1
4,GetSubscriberData,1764750700.864796,391,0,1
4,GetSubscriberData,1764750700.865196,475,0,1
4,GetSubscriberData,1764750700.865678,538,0,1
2,GetAccessData,1764750700.866225,476,0,1
2,GetAccessData,1764750700.866715,504,0,1
2,GetAccessData,1764750700.867225,551,0,1
4,GetSubscriberData,1764750700.867782,539,0,1
4,GetSubscriberData,1764750700.868329,492,0,1
2,GetAccessData,1764750700.868830,453,0,1
2,GetAccessData,1764750700.869289,338,0,1
2,GetAccessData,1764750700.869633,343,0,1
2,GetAccessData,1764750700.869983,470,0,1
1,DeleteCallForwarding,1764750700.870467,1106,0,1
3,GetNewDestination,1764750700.871580,487,0,1
3,GetNewDestination,1764750700.872076,534,0,1
2,GetAccessData,1764750700.872618,448,0,1
4,GetSubscriberData,1764750700.873073,452,0,1
2,GetAccessData,1764750700.873531,501,0,1
4,GetSubscriberData,1764750700.874040,448,0,1
2,GetAccessData,1764750700.874494,398,0,1
2,GetAccessData,1764750700.874898,413,0,1
6,UpdateLocation,1764750700.875319,3169,0,1
4,GetSubscriberData,1764750700.878497,545,0,1
2,GetAccessData,1764750700.879051,516,0,1
2,GetAccessData,1764750700.879575,454,0,1
4,GetSubscriberData,1764750700.880038,562,0,1
6,UpdateLocation,1764750700.880607,2952,0,1
2,GetAccessData,1764750700.883572,610,0,1
2,GetAccessData,1764750700.884191,435,0,1
4,GetSubscriberData,1764750700.884635,550,0,1
3,GetNewDestination,1764750700.885193,494,0,1
6,UpdateLocation,1764750700.885695,2954,0,1
4,GetSubscriberData,1764750700.888660,496,0,1
3,GetNewDestination,1764750700.889166,469,0,1
2,GetAccessData,1764750700.889642,378,0,1
3,GetNewDestination,1764750700.890028,421,0,1
