Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.000,1.678,0.605,0.710,0.791,1.106,2.846,3.042,48.529,48.529,0.596
5,16.800,1.098,0.498,0.693,0.773,0.864,2.653,2.876,4.024,4.024,0.910
10,17.800,0.953,0.511,0.642,0.719,0.790,2.693,2.857,3.303,3.303,1.049
15,17.400,1.178,0.501,0.613,0.678,0.886,2.816,3.001,4.633,4.633,0.849
20,20.800,1.037,0.479,0.619,0.693,0.790,2.738,2.840,3.362,3.724,0.964
25,18.200,0.922,0.476,0.628,0.684,0.755,2.574,2.722,3.176,3.176,1.084
30,17.200,1.059,0.529,0.633,0.691,0.769,2.675,2.780,5.393,5.393,0.944
35,21.200,1.184,0.494,0.604,0.683,1.445,2.770,2.927,3.083,3.083,0.845
40,19.600,1.108,0.533,0.629,0.698,0.814,2.741,2.815,3.068,3.068,0.902
45,20.400,1.174,0.471,0.632,0.719,0.962,2.727,2.839,3.048,3.061,0.852
50,19.000,1.180,0.518,0.603,0.663,1.224,2.871,2.986,3.376,3.376,0.848
55,20.400,1.016,0.488,0.610,0.682,0.786,2.674,2.864,3.019,3.980,0.984
