Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,351.400,0.367,0.216,0.295,0.356,0.412,0.470,0.508,0.659,5.072,2.721
5,294.800,0.342,0.209,0.288,0.339,0.380,0.423,0.453,0.584,0.931,2.926
10,309.600,0.341,0.219,0.289,0.336,0.378,0.424,0.459,0.559,0.951,2.936
15,320.400,0.336,0.207,0.280,0.328,0.374,0.416,0.450,0.589,1.809,2.975
20,293.200,0.338,0.209,0.284,0.333,0.380,0.429,0.458,0.550,0.775,2.955
25,315.000,0.339,0.218,0.285,0.337,0.378,0.421,0.455,0.603,0.995,2.946
30,296.800,0.342,0.211,0.286,0.337,0.380,0.426,0.460,0.628,1.159,2.924
35,309.200,0.337,0.211,0.279,0.333,0.376,0.424,0.459,0.581,0.770,2.969
40,313.800,0.341,0.217,0.283,0.338,0.383,0.432,0.459,0.554,1.148,2.930
45,287.400,0.362,0.215,0.282,0.333,0.381,0.428,0.463,0.575,21.618,2.766
50,318.400,0.332,0.211,0.272,0.328,0.374,0.423,0.452,0.539,0.752,3.010
55,322.800,0.335,0.215,0.276,0.331,0.375,0.422,0.464,0.587,0.805,2.983
