Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,89.000,0.430,0.259,0.353,0.412,0.475,0.530,0.585,1.190,2.133,2.325
5,93.200,0.406,0.274,0.342,0.395,0.437,0.488,0.514,0.591,2.220,2.462
10,88.800,0.402,0.255,0.335,0.382,0.435,0.481,0.513,0.734,2.170,2.488
15,87.000,0.403,0.263,0.339,0.382,0.429,0.484,0.523,0.743,2.415,2.484
20,84.200,0.400,0.257,0.338,0.380,0.426,0.474,0.527,0.640,2.197,2.500
25,93.000,0.403,0.246,0.337,0.378,0.436,0.482,0.523,0.964,2.194,2.479
30,81.800,0.428,0.265,0.340,0.384,0.436,0.485,0.542,2.050,3.010,2.335
35,92.600,0.404,0.253,0.335,0.386,0.440,0.489,0.531,0.795,2.144,2.473
40,91.200,0.434,0.259,0.343,0.387,0.440,0.497,0.547,2.096,2.295,2.304
45,90.800,0.457,0.270,0.337,0.387,0.440,0.491,0.527,2.065,15.775,2.190
50,94.800,0.408,0.250,0.338,0.389,0.434,0.486,0.519,1.990,2.205,2.453
55,94.800,0.428,0.249,0.338,0.388,0.430,0.487,0.534,2.013,2.183,2.339
