Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,350.200,0.509,0.242,0.328,0.385,0.453,0.577,1.951,2.133,5.096,1.964
5,323.200,0.780,0.236,0.326,0.384,0.497,2.040,2.140,2.660,52.693,1.282
10,320.200,0.806,0.239,0.328,0.381,0.548,2.058,2.174,2.399,51.689,1.240
15,318.800,0.771,0.240,0.323,0.379,0.586,2.030,2.108,2.304,5.391,1.297
20,286.600,0.869,0.235,0.319,0.383,1.830,2.036,2.143,2.443,101.892,1.151
25,318.400,0.832,0.237,0.319,0.384,0.599,2.015,2.107,2.549,104.199,1.202
30,291.000,0.918,0.243,0.324,0.381,0.975,1.988,2.056,2.965,56.023,1.089
35,316.600,0.769,0.233,0.320,0.382,0.664,2.003,2.054,2.238,4.481,1.300
40,313.800,0.813,0.249,0.325,0.389,0.600,2.037,2.101,2.267,53.460,1.231
45,299.400,0.842,0.237,0.317,0.378,1.797,2.024,2.092,2.253,56.058,1.187
50,316.400,0.842,0.236,0.322,0.381,1.850,2.024,2.090,2.273,53.833,1.187
55,315.600,0.756,0.238,0.321,0.379,0.577,1.988,2.057,2.364,5.017,1.324
