Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.200,9.378,2.738,3.093,11.079,12.222,17.395,17.732,25.823,25.823,0.107
5,17.600,9.544,2.714,3.321,10.961,16.530,17.151,17.309,17.989,17.989,0.105
10,19.400,8.760,2.649,3.213,10.877,11.546,17.101,17.392,18.826,18.826,0.114
15,18.600,8.484,2.836,3.073,10.485,11.526,16.919,17.248,17.883,17.883,0.118
20,18.600,9.393,2.691,3.093,10.999,11.671,16.942,17.587,18.702,18.702,0.106
25,17.600,9.522,2.678,3.037,11.015,12.093,17.019,17.564,52.112,52.112,0.105
30,20.000,9.435,2.675,3.064,10.910,11.889,17.115,17.341,18.398,18.398,0.106
35,18.800,9.863,2.711,3.153,11.051,16.511,16.981,17.271,17.442,17.442,0.101
40,19.000,8.715,2.678,3.029,10.857,11.343,17.008,17.114,18.744,18.744,0.115
45,20.400,10.313,2.636,3.130,11.056,16.442,16.908,17.182,17.403,57.609,0.097
50,15.400,9.981,2.682,3.139,10.952,11.661,16.820,17.238,17.588,17.588,0.100
55,17.800,9.171,2.703,3.071,10.806,11.701,16.860,17.139,17.895,17.895,0.109
