Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,134.400,3.067,2.302,2.714,2.833,2.997,3.250,3.540,4.556,55.003,0.326
5,130.800,2.989,2.340,2.707,2.840,3.031,3.248,3.464,4.636,53.152,0.335
10,119.800,3.185,2.340,2.706,2.860,3.033,3.277,3.485,6.091,55.866,0.314
15,130.400,3.080,2.310,2.674,2.782,2.955,3.112,3.213,4.494,55.576,0.325
20,117.800,3.271,2.273,2.648,2.784,2.977,3.180,3.525,8.958,60.794,0.306
25,128.200,2.953,1.859,2.617,2.732,2.868,3.098,3.290,5.026,54.138,0.339
30,118.600,3.061,2.309,2.599,2.712,2.837,3.094,3.506,5.089,58.104,0.327
35,127.000,2.990,2.320,2.612,2.715,2.834,2.986,3.130,4.011,57.184,0.334
40,129.600,2.868,2.257,2.634,2.741,2.860,3.024,3.157,4.319,54.544,0.349
45,118.000,2.891,2.253,2.619,2.735,2.854,3.030,3.151,4.228,53.378,0.346
50,132.000,2.866,2.315,2.618,2.733,2.852,3.007,3.150,5.447,53.303,0.349
55,125.400,3.109,2.335,2.609,2.708,2.845,3.043,3.418,5.587,55.707,0.322
