Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.000,1.619,0.768,0.922,1.041,2.615,2.790,3.144,4.188,4.188,0.618
5,18.400,1.548,0.764,0.906,0.987,2.543,2.808,3.192,4.658,4.658,0.646
10,16.400,1.666,0.738,0.863,0.981,2.703,2.985,3.085,5.402,5.402,0.600
15,17.400,1.593,0.717,0.852,0.966,2.572,2.795,2.980,5.405,5.405,0.628
20,19.400,1.691,0.675,0.828,0.974,2.644,2.917,3.030,4.843,4.843,0.591
25,16.000,1.474,0.646,0.793,0.902,2.557,2.741,2.926,3.424,3.424,0.679
30,14.600,1.544,0.679,0.818,0.924,2.536,2.727,2.862,3.876,3.876,0.648
35,13.200,1.818,0.697,0.807,1.018,2.582,2.777,3.874,7.207,7.207,0.550
40,19.800,1.606,0.683,0.848,0.959,2.528,2.704,2.853,6.262,6.262,0.623
45,16.600,1.475,0.657,0.816,0.918,2.515,2.680,2.870,4.120,4.120,0.678
50,20.000,1.495,0.653,0.825,0.916,2.554,2.662,2.724,4.088,4.088,0.669
55,21.200,1.628,0.655,0.825,0.962,2.558,2.700,2.760,4.154,4.773,0.614
