Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,983.200,1.012,0.216,0.334,0.401,0.561,2.805,3.016,11.075,55.003,0.989
5,894.800,1.114,0.209,0.327,0.390,1.917,2.831,3.096,11.016,53.152,0.898
10,892.000,1.116,0.219,0.323,0.383,1.886,2.827,3.063,11.118,55.866,0.896
15,910.000,1.095,0.207,0.318,0.381,1.926,2.775,2.992,10.758,55.576,0.914
20,840.600,1.185,0.209,0.320,0.386,1.921,2.784,3.019,11.268,101.892,0.844
25,906.400,1.099,0.218,0.322,0.384,1.874,2.718,2.893,11.021,104.199,0.910
30,840.000,1.186,0.211,0.323,0.385,1.897,2.718,2.924,11.310,58.104,0.843
35,898.600,1.112,0.211,0.318,0.384,1.909,2.711,2.873,11.093,57.184,0.899
40,906.800,1.094,0.217,0.324,0.391,1.953,2.735,2.890,10.912,54.544,0.914
45,853.000,1.169,0.215,0.320,0.385,1.923,2.728,2.906,11.410,57.609,0.855
50,916.000,1.087,0.211,0.316,0.383,1.916,2.718,2.877,10.906,53.833,0.920
55,918.000,1.084,0.215,0.317,0.382,1.860,2.688,2.875,10.845,55.707,0.922
