Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,877,877.000,237,389,472,1132,647,2946,3250,11822,25823
1,972,972.000,238,342,403,1024,503,2898,3149,11079,55003
2,1014,1014.000,226,326,394,980,598,2761,2902,10795,17457
3,1022,1022.000,216,319,380,974,517,2730,2874,3913,53955
4,1031,1031.000,225,307,376,963,541,2754,2947,11095,17063
5,823,823.000,233,330,397,1209,976,2752,2992,11233,53152
6,874,874.000,228,327,387,1146,1932,2772,2987,11400,17309
7,904,904.000,209,329,393,1095,2001,2900,3129,5531,17989
8,899,899.000,230,322,390,1106,1978,3030,3238,4550,17833
9,974,974.000,219,324,383,1027,992,2769,2936,11040,17703
10,1012,1012.000,222,314,370,979,783,2850,3026,4104,18459
11,887,887.000,223,332,391,1123,1926,2734,2959,11411,17392
12,787,787.000,219,322,382,1267,715,2957,3192,16899,55866
13,861,861.000,225,332,397,1157,2004,2775,3005,10922,17292
14,913,913.000,230,321,381,1087,827,2897,3111,4588,51689
15,888,888.000,226,322,384,1122,1956,2842,3055,11164,17248
16,854,854.000,214,311,377,1178,908,2780,2982,10885,55576
17,907,907.000,221,322,379,1087,1993,2766,2956,4494,17668
18,957,957.000,220,311,384,1046,1860,2750,2987,10880,17398
19,944,944.000,207,317,382,1048,1934,2767,2995,3729,16902
20,682,682.000,217,322,401,1473,1969,2838,3112,16137,60794
21,897,897.000,225,317,384,1107,1957,2923,3138,11168,18675
22,930,930.000,224,318,380,1122,788,2699,2871,10790,101892
23,754,754.000,227,324,393,1251,2013,2860,3087,12299,18702
24,940,940.000,209,320,383,1060,1907,2715,2874,10834,17327
25,853,853.000,224,330,390,1167,1931,2742,2897,10767,104199
26,903,903.000,226,327,383,1104,1911,2769,2954,11048,17567
27,912,912.000,218,317,390,1090,809,2778,3083,6342,54138
28,1015,1015.000,222,313,371,980,1887,2664,2763,3226,17125
29,849,849.000,219,322,388,1173,1868,2706,2868,11146,53489
30,908,908.000,223,326,387,1096,1898,2708,2894,10940,18218
31,893,893.000,211,326,387,1116,1895,2666,2849,4889,55677
32,933,933.000,222,317,378,1071,1844,2723,2919,11009,17232
33,752,752.000,221,325,391,1337,1902,2718,2954,16680,56023
34,714,714.000,228,324,389,1376,1932,2782,3096,11954,58104
35,889,889.000,224,316,388,1152,1929,2712,2886,10947,54155
36,856,856.000,222,330,396,1132,1897,2713,2925,11344,17409
37,875,875.000,227,317,382,1136,1916,2711,2818,11084,57184
38,840,840.000,224,322,390,1198,1957,2726,2927,16511,17442
39,1033,1033.000,211,314,373,969,641,2678,2838,4139,17251
40,833,833.000,217,333,400,1175,1959,2749,2936,11223,18744
41,957,957.000,224,317,386,1041,1854,2673,2876,10917,17114
42,919,919.000,223,329,401,1085,2005,2776,2940,3217,17124
43,982,982.000,220,323,384,1011,1894,2724,2856,10620,16648
44,843,843.000,220,320,388,1181,1946,2721,2870,11616,54544
45,858,858.000,225,325,396,1161,2004,2758,2910,11084,17125
46,829,829.000,215,310,377,1202,1415,2748,2911,16790,56058
47,956,956.000,221,308,370,1043,807,2658,2848,11648,16952
48,748,748.000,218,336,408,1332,1975,2719,2974,11907,57609
49,874,874.000,216,319,385,1144,1936,2729,2974,11301,21618
50,913,913.000,211,324,383,1084,1934,2740,2871,10921,17238
51,983,983.000,217,306,377,1014,862,2735,2867,4576,17500
52,862,862.000,218,312,388,1209,1947,2731,2901,11095,53303
53,900,900.000,222,308,379,1057,1924,2681,2840,10871,53833
54,922,922.000,232,327,395,1078,1914,2711,2900,10519,17588
55,851,851.000,222,333,403,1168,1917,2727,2914,11412,53085
56,946,946.000,224,318,381,1053,1923,2690,2876,10752,16849
57,947,947.000,215,313,380,1050,798,2673,2826,3684,55707
58,891,891.000,215,310,374,1118,1887,2726,2917,11566,17823
59,955,955.000,219,311,379,1041,806,2654,2832,10828,50641
