Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1764751455.033685,19838,12,1
2,Payment,1764751455.033707,19773,8,1
1,NewOrder,1764751455.033760,33331,6,1
2,Payment,1764751455.038816,14877,10,1
1,NewOrder,1764751455.038838,33874,9,1
2,Payment,1764751455.038865,15445,3,1
2,Payment,1764751455.038872,15240,1,1
3,OrderStatus,1764751455.042433,16908,0,1
1,NewOrder,1764751455.042897,25408,11,1
1,NewOrder,1764751455.047795,34023,15,1
2,Payment,1764751455.047804,19728,7,1
1,NewOrder,1764751455.047868,32019,2,1
1,NewOrder,1764751455.047918,43132,13,1
1,NewOrder,1764751455.053577,16260,4,1
2,Payment,1764751455.053634,18776,8,1
1,NewOrder,1764751455.053721,37338,10,1
2,Payment,1764751455.053750,20340,12,1
2,Payment,1764751455.053846,28423,5,1
4,Delivery,1764751455.054126,46254,1,1
1,NewOrder,1764751455.054320,36743,3,1
2,Payment,1764751455.059405,16237,0,1
1,NewOrder,1764751455.067114,23652,6,1
2,Payment,1764751455.067552,14959,7,1
1,NewOrder,1764751455.068296,31573,14,1
2,Payment,1764751455.068322,22454,11,1
2,Payment,1764751455.069848,30209,4,1
1,NewOrder,1764751455.072423,26038,8,1
4,Delivery,1764751455.072724,28435,9,1
2,Payment,1764751455.074105,24393,12,1
5,StockLevel,1764751455.075655,15255,0,1
1,NewOrder,1764751455.079904,22676,2,1
1,NewOrder,1764751455.081835,77699,15,1
3,OrderStatus,1764751455.082283,6794,5,1
1,NewOrder,1764751455.082520,208306,7,1
2,Payment,1764751455.089103,196461,5,1
3,OrderStatus,1764751455.090784,9087,6,1
2,Payment,1764751455.090788,68786,11,1
5,StockLevel,1764751455.090915,293741,0,1
1,NewOrder,1764751455.091068,200026,10,1
1,NewOrder,1764751455.091075,199720,3,1
2,Payment,1764751455.091101,194458,13,1
1,NewOrder,1764751455.098480,187079,8,1
1,NewOrder,1764751455.098511,187050,12,1
2,Payment,1764751455.099885,185683,6,1
2,Payment,1764751455.099888,190838,14,1
1,NewOrder,1764751455.100070,191360,4,1
2,Payment,1764751455.100392,190367,1,1
1,NewOrder,1764751455.101213,189647,9,1
2,Payment,1764751455.102593,224351,2,1
1,NewOrder,1764751455.159557,172657,15,1
1,NewOrder,1764751455.159588,131087,11,1
1,NewOrder,1764751455.285589,40847,8,1
2,Payment,1764751455.285589,29613,6,1
2,Payment,1764751455.285589,40719,5,1
1,NewOrder,1764751455.285589,41036,13,1
1,NewOrder,1764751455.285595,40745,12,1
2,Payment,1764751455.290695,35628,11,1
5,StockLevel,1764751455.290738,35546,14,1
2,Payment,1764751455.290769,66684,1,1
1,NewOrder,1764751455.290820,51204,3,1
5,StockLevel,1764751455.290836,35481,7,1
2,Payment,1764751455.290865,35665,9,1
3,OrderStatus,1764751455.291109,916,10,1
2,Payment,1764751455.291437,66017,4,1
1,NewOrder,1764751455.292032,40206,10,1
1,NewOrder,1764751455.315242,38669,6,1
4,Delivery,1764751455.326332,38231,7,1
1,NewOrder,1764751455.326332,31164,5,1
1,NewOrder,1764751455.326332,36873,14,1
2,Payment,1764751455.326334,31036,11,1
5,StockLevel,1764751455.326350,27600,12,1
2,Payment,1764751455.326440,30953,8,1
2,Payment,1764751455.326533,30857,9,1
1,NewOrder,1764751455.326635,31018,13,1
3,OrderStatus,1764751455.326953,30419,2,1
2,Payment,1764751455.332228,25331,15,1
1,NewOrder,1764751455.332250,63349,10,1
2,Payment,1764751455.342042,22360,3,1
2,Payment,1764751455.353936,26415,6,1
1,NewOrder,1764751455.353989,30402,12,1
1,NewOrder,1764751455.357380,29207,11,1
2,Payment,1764751455.357382,29310,2,1
1,NewOrder,1764751455.357399,38397,9,1
2,Payment,1764751455.357403,26904,8,1
2,Payment,1764751455.357465,48327,1,1
1,NewOrder,1764751455.357479,38260,4,1
2,Payment,1764751455.357500,27205,5,1
3,OrderStatus,1764751455.357564,26756,15,1
3,OrderStatus,1764751455.357661,2485,13,1
2,Payment,1764751455.360179,26515,13,1
1,NewOrder,1764751455.363219,35529,14,1
2,Payment,1764751455.364414,22625,3,1
1,NewOrder,1764751455.364574,63698,7,1
3,OrderStatus,1764751455.380383,1528,6,1
2,Payment,1764751455.381936,23527,6,1
1,NewOrder,1764751455.384330,20881,8,1
1,NewOrder,1764751455.384335,43858,15,1
1,NewOrder,1764751455.384403,44020,12,1
1,NewOrder,1764751455.384666,308571,0,1
1,NewOrder,1764751455.384709,308457,5,1
1,NewOrder,1764751455.386601,18608,11,1
2,Payment,1764751455.386704,323004,2,1
2,Payment,1764751455.386706,18638,13,1
1,NewOrder,1764751455.387050,307120,3,1
2,Payment,1764751455.395625,314011,10,1
4,Delivery,1764751455.395744,320125,4,1
2,Payment,1764751455.395812,32964,9,1
2,Payment,1764751455.398761,221524,14,1
4,Delivery,1764751455.405230,304421,11,1
2,Payment,1764751455.405231,304403,8,1
2,Payment,1764751455.405361,287869,13,1
1,NewOrder,1764751455.405564,304095,6,1
1,NewOrder,1764751455.405804,303865,1,1
2,Payment,1764751455.428221,326236,15,1
1,NewOrder,1764751455.428294,287698,7,1
2,Payment,1764751455.428473,291244,12,1
1,NewOrder,1764751455.428788,280926,9,1
2,Payment,1764751455.620316,95609,14,1
5,StockLevel,1764751455.693203,26617,5,1
2,Payment,1764751455.693289,26985,0,1
1,NewOrder,1764751455.693523,42841,13,1
1,NewOrder,1764751455.694182,42180,3,1
4,Delivery,1764751455.709656,45428,10,1
1,NewOrder,1764751455.709662,44837,11,1
1,NewOrder,1764751455.709669,31442,6,1
1,NewOrder,1764751455.709678,44757,1,1
1,NewOrder,1764751455.709712,44918,2,1
2,Payment,1764751455.709716,26655,8,1
1,NewOrder,1764751455.709717,44893,9,1
2,Payment,1764751455.715885,38733,4,1
2,Payment,1764751455.715936,86150,14,1
5,StockLevel,1764751455.715998,38698,7,1
1,NewOrder,1764751455.719734,34866,12,1
1,NewOrder,1764751455.719831,51235,5,1
1,NewOrder,1764751455.720284,53314,0,1
2,Payment,1764751455.736386,21770,8,1
2,Payment,1764751455.736386,21942,3,1
4,Delivery,1764751455.736391,64582,13,1
1,NewOrder,1764751455.741126,32562,6,1
2,Payment,1764751455.754458,46513,1,1
1,NewOrder,1764751455.754470,47661,15,1
1,NewOrder,1764751455.754509,54065,11,1
1,NewOrder,1764751455.754611,47482,12,1
1,NewOrder,1764751455.754620,50410,9,1
3,OrderStatus,1764751455.754638,12761,2,1
1,NewOrder,1764751455.754656,53967,4,1
1,NewOrder,1764751455.754706,50322,7,1
4,Delivery,1764751455.755120,55530,10,1
1,NewOrder,1764751455.758174,43924,8,1
1,NewOrder,1764751455.758339,46689,3,1
4,Delivery,1764751455.767422,74122,2,1
3,OrderStatus,1764751455.771092,2250,5,1
2,Payment,1764751455.773359,35488,5,1
1,NewOrder,1764751455.773609,57095,0,1
1,NewOrder,1764751455.773700,35126,6,1
2,Payment,1764751455.800998,29705,1,1
1,NewOrder,1764751455.800998,36158,13,1
2,Payment,1764751455.802096,28625,14,1
1,NewOrder,1764751455.802103,35094,12,1
2,Payment,1764751455.802109,28596,8,1
1,NewOrder,1764751455.802135,35006,15,1
3,OrderStatus,1764751455.805043,25701,7,1
1,NewOrder,1764751455.805043,43839,3,1
2,Payment,1764751455.805044,29538,9,1
1,NewOrder,1764751455.808591,28525,11,1
2,Payment,1764751455.808635,56895,4,1
1,NewOrder,1764751455.808837,28282,6,1
2,Payment,1764751455.808857,28384,5,1
2,Payment,1764751455.810665,136195,10,1
2,Payment,1764751455.830730,18119,1,1
1,NewOrder,1764751455.830730,26445,8,1
2,Payment,1764751455.830730,18129,0,1
3,OrderStatus,1764751455.830734,1068,14,1
2,Payment,1764751455.830756,18157,7,1
5,StockLevel,1764751455.831813,25231,14,1
2,Payment,1764751455.834594,22433,9,1
1,NewOrder,1764751455.837129,28414,11,1
1,NewOrder,1764751455.837132,98851,6,1
2,Payment,1764751455.837151,19878,15,1
1,NewOrder,1764751455.837159,28513,13,1
2,Payment,1764751455.837209,19819,12,1
1,NewOrder,1764751455.837251,98742,5,1
2,Payment,1764751455.841584,35063,2,1
1,NewOrder,1764751455.848879,98201,1,1
2,Payment,1764751455.848879,23274,0,1
2,Payment,1764751455.848894,23249,3,1
1,NewOrder,1764751455.848924,87130,7,1
2,Payment,1764751455.857057,78925,15,1
1,NewOrder,1764751455.857057,89807,9,1
1,NewOrder,1764751455.857057,89822,12,1
1,NewOrder,1764751455.857066,89960,14,1
1,NewOrder,1764751455.857182,78921,8,1
2,Payment,1764751455.865562,70738,4,1
1,NewOrder,1764751455.865562,81489,11,1
2,Payment,1764751455.865684,70302,13,1
4,Delivery,1764751455.872170,212839,0,1
1,NewOrder,1764751455.872170,187626,3,1
1,NewOrder,1764751455.876683,194586,2,1
1,NewOrder,1764751455.936013,162282,5,1
2,Payment,1764751455.936013,129379,13,1
1,NewOrder,1764751455.936014,134279,6,1
1,NewOrder,1764751455.936014,131440,15,1
1,NewOrder,1764751455.936058,129372,7,1
1,NewOrder,1764751455.936107,130848,8,1
2,Payment,1764751455.936314,129093,4,1
1,NewOrder,1764751455.946878,124724,10,1
4,Delivery,1764751455.946878,123502,9,1
2,Payment,1764751455.946890,138306,12,1
2,Payment,1764751455.947032,120012,14,1
1,NewOrder,1764751455.947053,124587,11,1
2,Payment,1764751455.947090,124547,1,1
5,StockLevel,1764751456.059826,20320,3,1
5,StockLevel,1764751456.065407,19694,13,1
2,Payment,1764751456.065420,24005,4,1
1,NewOrder,1764751456.065440,24030,7,1
1,NewOrder,1764751456.066965,22559,8,1
3,OrderStatus,1764751456.067054,2028,14,1
3,OrderStatus,1764751456.067463,1359,15,1
2,Payment,1764751456.068831,16357,15,1
1,NewOrder,1764751456.069092,20345,14,1
2,Payment,1764751456.070302,19129,6,1
1,NewOrder,1764751456.070390,19385,9,1
4,Delivery,1764751456.071278,44691,2,1
