Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,207.400,41.552,5.705,26.855,32.626,41.200,74.773,93.079,194.586,308.571,0.024
5,147.200,53.628,6.018,23.484,29.525,39.096,89.339,131.947,789.211,959.957,0.019
10,240.800,35.384,5.541,23.687,28.734,35.251,45.965,79.534,171.663,298.619,0.028
15,148.200,56.298,8.393,24.919,30.602,45.991,123.723,210.011,453.587,471.774,0.018
20,180.800,48.711,4.376,24.869,30.838,42.308,94.815,144.151,304.086,335.823,0.021
25,178.200,45.891,5.491,24.234,29.713,41.463,91.763,143.332,236.848,263.014,0.022
30,178.200,51.348,6.250,24.740,30.773,45.633,94.528,162.648,336.636,524.167,0.019
35,107.000,71.816,4.806,25.201,35.404,82.702,136.085,231.658,575.418,679.333,0.014
40,205.000,42.941,4.304,23.907,28.911,38.714,85.067,132.132,195.626,522.101,0.023
45,210.600,36.299,7.215,23.734,28.612,36.337,62.919,85.521,160.445,333.590,0.028
50,89.600,90.831,10.088,26.297,35.048,83.120,221.435,466.893,698.021,777.289,0.011
55,174.800,49.271,4.779,24.397,29.217,41.671,96.976,153.780,334.995,423.601,0.020
