Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,466.800,34.561,0.733,17.390,27.141,37.043,63.495,87.177,194.586,326.236,0.029
5,332.800,47.641,0.863,15.317,24.438,35.172,83.697,125.842,474.899,1307.450,0.021
10,549.000,29.182,0.913,15.514,23.681,32.409,44.813,71.138,117.559,302.476,0.034
15,340.000,47.824,0.865,16.042,25.584,40.579,114.129,170.162,303.441,471.774,0.021
20,394.600,40.050,0.802,16.727,25.039,36.988,85.126,136.174,299.481,370.053,0.025
25,403.200,39.785,0.942,16.533,25.336,38.426,88.602,132.399,231.074,336.655,0.025
30,389.200,43.874,0.869,16.466,25.719,38.541,85.961,129.849,336.636,683.450,0.023
35,227.800,65.344,0.625,21.121,33.150,74.873,130.329,195.561,575.418,737.540,0.015
40,457.200,37.164,0.696,16.302,24.422,34.480,76.333,119.497,206.675,563.017,0.027
45,487.400,30.572,0.763,16.043,23.723,32.711,52.690,84.147,153.855,333.590,0.033
50,204.000,78.985,0.744,18.660,29.532,69.120,180.484,441.394,697.294,1138.032,0.013
55,390.200,40.187,0.730,17.252,25.826,36.867,84.188,128.524,282.034,423.601,0.025
