Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25.200,48.334,6.168,29.768,42.700,55.998,78.305,93.218,190.525,201.181,0.021
5,30.000,63.435,15.488,34.636,47.169,62.614,106.177,223.381,341.070,341.525,0.016
10,28.000,48.210,7.581,29.668,41.930,54.848,80.973,115.948,163.270,166.819,0.021
15,27.400,48.964,8.944,32.100,43.066,54.532,83.008,110.287,159.360,178.949,0.020
20,23.000,48.058,6.688,28.723,38.058,53.299,87.476,129.115,176.366,281.338,0.021
25,29.600,46.393,11.565,26.638,40.521,53.592,70.023,110.700,194.946,199.191,0.022
30,24.600,48.784,12.788,30.617,43.592,56.474,84.258,100.131,142.704,144.807,0.020
35,18.000,57.707,15.036,33.278,47.637,63.713,103.680,137.638,382.730,382.730,0.017
40,25.200,48.267,11.011,31.205,42.918,56.453,78.113,108.795,129.794,159.188,0.021
45,26.800,50.120,10.781,30.248,42.853,63.887,82.012,118.661,140.384,185.921,0.020
50,25.000,51.033,5.622,28.473,41.236,58.694,89.399,119.052,212.396,224.114,0.020
55,21.800,54.850,9.638,27.986,45.214,68.821,109.775,122.998,176.921,178.854,0.018
