Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,22.800,3.699,0.765,2.138,3.038,3.881,5.354,6.914,9.952,55.112,0.270
5,21.800,6.423,1.281,2.597,3.656,5.176,6.927,10.014,65.574,109.819,0.156
10,24.000,4.101,0.826,2.164,3.023,5.221,6.899,7.952,12.036,57.743,0.244
15,26.000,5.300,0.762,1.810,3.223,4.630,6.878,8.359,94.680,94.880,0.189
20,23.800,4.398,0.763,2.446,3.456,5.138,7.541,12.376,20.340,22.753,0.227
25,26.600,4.251,0.768,2.571,3.621,4.934,6.434,8.159,18.989,41.122,0.235
30,23.800,4.093,0.706,2.256,3.659,4.956,7.007,8.903,13.402,22.835,0.244
35,26.400,5.851,1.284,2.609,3.778,5.677,8.091,9.296,58.789,109.157,0.171
40,25.000,4.767,1.351,2.942,3.961,5.429,7.241,8.832,11.482,62.388,0.210
45,24.600,5.256,0.802,2.100,3.321,4.881,7.227,9.747,54.553,55.691,0.190
50,25.000,6.493,0.707,2.655,3.476,5.318,7.529,10.771,106.693,119.365,0.154
55,24.200,5.327,0.794,2.407,3.573,5.262,6.851,13.350,58.872,59.479,0.188
