Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,293.200,14.519,4.261,8.285,10.390,14.355,21.160,31.951,74.464,259.780,0.069
5,230.200,20.457,4.583,8.643,11.330,16.559,50.045,65.015,148.776,347.587,0.049
10,241.600,17.413,4.238,8.301,10.554,14.749,24.310,58.935,147.307,296.827,0.057
15,270.800,15.933,4.172,8.231,10.473,14.284,21.102,41.821,156.367,252.626,0.063
20,239.600,19.366,4.128,8.390,10.748,15.479,33.056,66.224,160.870,274.799,0.052
25,292.200,14.214,4.340,8.248,10.399,13.998,19.977,28.801,110.214,177.652,0.070
30,274.800,16.285,3.814,8.346,10.661,14.952,23.856,57.707,105.830,280.283,0.061
35,244.200,17.272,4.034,8.849,11.528,16.362,28.661,59.667,110.816,360.090,0.058
40,283.200,15.101,4.282,8.728,11.276,15.220,22.240,34.700,70.918,152.280,0.066
45,271.400,16.853,4.275,8.655,11.063,15.363,27.978,60.061,109.183,197.663,0.059
50,275.200,16.742,4.275,8.433,10.838,15.018,28.840,60.112,110.580,214.887,0.060
55,243.800,19.542,3.917,8.489,11.217,15.704,55.210,72.379,128.918,259.030,0.051
