Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25.600,13.496,3.619,7.792,10.058,13.232,18.362,32.202,68.883,123.836,0.074
5,22.600,20.615,4.901,8.885,10.932,14.925,29.138,66.445,227.211,313.061,0.049
10,23.800,16.234,3.892,7.833,10.114,14.255,38.561,57.732,107.932,148.014,0.062
15,26.000,11.504,5.182,7.989,10.335,12.879,16.585,18.474,25.725,105.375,0.087
20,19.800,12.884,4.506,7.671,9.403,12.576,18.495,37.373,76.689,76.689,0.078
25,28.600,12.336,4.162,8.216,9.732,13.186,18.039,23.235,60.446,70.466,0.081
30,23.000,14.987,3.760,8.201,10.438,13.779,18.387,56.354,107.357,119.414,0.067
35,20.800,12.013,3.171,7.734,10.423,14.391,18.265,23.747,42.981,57.155,0.083
40,25.200,12.534,4.835,8.265,10.857,14.931,17.834,21.382,59.289,62.666,0.080
45,23.000,14.300,3.404,7.850,10.304,13.700,18.698,53.266,65.237,108.303,0.070
50,22.800,14.931,3.656,7.439,10.212,13.625,21.358,56.584,65.952,138.282,0.067
55,23.400,19.124,5.833,8.549,11.001,13.465,56.385,64.637,147.852,148.322,0.052
