Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,794,794.000,765,9734,17154,20676,28001,38952,49082,67143,82104
1,411,411.000,1516,12451,23812,38106,56778,75899,90744,201683,259780
2,783,783.000,1484,9716,16723,20336,27007,37638,45612,66524,93218
3,624,624.000,968,9956,18404,25761,29138,57544,75273,133506,187555
4,784,784.000,837,9448,15660,20361,25183,35496,43852,126802,152353
5,416,416.000,1281,11049,21819,40015,56053,111225,136251,209993,279220
6,538,538.000,1683,11777,19126,36005,35830,71952,91255,330658,341525
7,616,616.000,1432,9978,16794,19637,25687,36261,43158,58390,71961
8,679,679.000,1347,10454,17962,23485,28098,39024,48696,169076,182063
9,492,492.000,1327,10803,21881,35717,42957,73234,86584,242181,347587
10,484,484.000,880,9613,18438,29709,30195,63854,147628,162850,173777
11,677,677.000,947,9838,17978,24423,28968,49651,66994,145822,189525
12,709,709.000,826,9214,17793,21861,29929,42786,54685,72986,113276
13,600,600.000,986,10907,21126,26586,33939,55164,68591,122814,136551
14,428,428.000,1214,11205,20173,37357,32812,74059,129100,284717,296827
15,579,579.000,907,10000,18631,27628,30523,49999,72635,217676,224915
16,706,706.000,762,9515,15969,22672,28690,40239,62653,129372,149767
17,714,714.000,1031,9878,16720,22233,26501,36890,47085,169333,188799
18,565,565.000,1505,10562,18337,28392,34035,69152,82168,120391,121501
19,617,617.000,1633,9887,17625,25943,28541,43666,94680,159360,253192
20,532,532.000,1004,9960,18572,30940,33854,69772,115477,167880,179231
21,834,834.000,763,9296,15540,18690,26128,34742,41683,53596,76608
22,567,567.000,1210,10509,20392,28360,32402,60933,79679,154798,215057
23,370,370.000,1590,13073,26835,44988,63583,85591,159012,182713,305401
24,547,547.000,1282,10316,20485,28072,30095,42783,63342,274799,310451
25,764,764.000,939,9575,17062,20759,27905,40283,48632,68793,90731
26,669,669.000,1526,9467,16753,24013,28284,54056,73400,119403,142446
27,636,636.000,980,9781,18314,24946,28418,52041,69391,140719,169079
28,580,580.000,2328,10251,17612,27690,29018,52398,113201,190443,212614
29,773,773.000,768,10209,17348,21344,28421,39121,49110,73599,99430
30,577,577.000,706,9414,17295,26599,27772,47476,85243,202540,280283
31,669,669.000,761,10742,18671,24128,28770,47411,64132,125548,144807
32,540,540.000,784,10401,20493,30153,34076,71672,105833,134181,142704
33,724,724.000,1395,9897,17599,21599,28521,38541,57707,77751,103775
34,658,658.000,1148,10494,18444,25673,29947,61571,76064,122099,144135
35,649,649.000,1314,9754,18344,23229,29783,56575,61046,74047,84841
36,504,504.000,1284,10689,19427,34895,30975,47293,113618,372463,397572
37,522,522.000,2363,11528,19904,27716,31208,61587,73284,139144,153659
38,706,706.000,1479,10407,16790,22665,28492,40813,53784,121493,152790
39,492,492.000,1838,12336,23202,32580,37044,67981,86470,191776,217151
40,696,696.000,1362,10206,17977,24208,30971,48641,66551,119008,171642
41,482,482.000,1351,11292,20979,31272,42093,67495,91255,130049,152280
42,795,795.000,1599,9854,16768,20187,27894,38172,44402,59348,72656
43,643,643.000,1363,11481,19030,24906,30044,56713,70277,96041,159188
44,718,718.000,1427,11285,20184,22331,29867,40904,48488,62976,78113
45,486,486.000,1332,10995,19603,32934,36142,80381,115723,128546,184886
46,820,820.000,863,10003,16352,19427,26514,36601,42394,62184,74647
47,670,670.000,802,11285,19494,24696,31407,55691,68647,88494,93937
48,548,548.000,1170,10989,19920,28074,33603,64955,75953,101245,129179
49,638,638.000,811,9869,17654,26816,30520,63859,73519,185921,199123
50,289,289.000,707,13984,27182,51579,71105,126325,139260,220387,224114
51,813,813.000,915,9906,16525,19644,26818,36053,45495,65409,95632
52,566,566.000,1059,10597,18548,28441,36103,64145,72307,123344,184504
53,677,677.000,1156,10074,18772,23556,29759,54260,62182,78419,99087
54,768,768.000,1078,9573,15642,20752,26446,36574,47301,116615,129858
55,759,759.000,794,9343,16724,20994,26729,38444,47560,119863,136532
56,604,604.000,990,10449,17763,26820,32187,64734,73254,123493,138742
57,313,313.000,1165,14426,24105,50759,71592,125595,162695,178854,259030
58,452,452.000,1069,11551,21983,35668,57641,86271,109087,123024,129110
59,747,747.000,1404,10611,17572,20603,27082,36240,45845,76754,106596
