Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1764752042.251880,3164109,0,1
2,Q2,1764752045.504355,88440,0,1
3,Q3,1764752045.885915,298485,0,1
4,Q4,1764752046.228207,45815,0,1
5,Q5,1764752046.379043,100349,0,1
6,Q6,1764752046.597934,117881,0,1
7,Q7,1764752048.303399,1496423,0,1
8,Q8,1764752057.930408,8319947,0,1
9,Q9,1764752066.648603,383418,0,1
10,Q10,1764752067.210440,174304,0,1
11,Q11,1764752067.401031,17169,0,1
12,Q12,1764752067.511107,93926,0,1
13,Q13,1764752067.739471,140856,0,1
14,Q14,1764752067.912658,32191,0,1
15,Q15,1764752068.038739,84937,0,1
16,Q16,1764752068.191350,64920,0,1
17,Q17,1764752068.269341,11675,0,1
18,Q18,1764752068.696077,438500,0,1
19,Q19,1764752069.358861,224802,0,1
20,Q20,1764752069.750764,163051,0,1
21,Q21,1764752070.195817,277448,0,1
22,Q22,1764752070.527398,52976,0,1
