Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1,1.000,3164109,3164109,3164109,3164109,3164109,3164109,3164109,3164109,3164109
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,3.000,45815,45815,88440,144246,298485,298485,298485,298485,298485
4,2,2.000,100349,100349,117881,109115,117881,117881,117881,117881,117881
5,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1,1.000,1496423,1496423,1496423,1496423,1496423,1496423,1496423,1496423,1496423
7,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,1,1.000,8319947,8319947,8319947,8319947,8319947,8319947,8319947,8319947,8319947
16,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,2,2.000,174304,174304,383418,278861,383418,383418,383418,383418,383418
25,6,6.000,17169,32191,84937,72333,93926,140856,140856,140856,140856
26,2,2.000,11675,11675,438500,225087,438500,438500,438500,438500,438500
27,3,3.000,163051,163051,224802,221767,277448,277448,277448,277448,277448
28,1,1.000,52976,52976,52976,52976,52976,52976,52976,52976,52976
