Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,GetPageAnonymous,1764750253.988286,4519,0,1
4,GetPageAnonymous,1764750253.992867,4135,0,1
3,UpdatePage,1764750253.997017,15183,0,1
4,GetPageAnonymous,1764750254.012214,4540,0,1
4,GetPageAnonymous,1764750254.016767,2311,0,1
4,GetPageAnonymous,1764750254.019119,1944,0,1
4,GetPageAnonymous,1764750254.021072,2226,0,1
4,GetPageAnonymous,1764750254.023307,2195,0,1
4,GetPageAnonymous,1764750254.025512,1665,0,1
4,GetPageAnonymous,1764750254.027194,2189,0,1
4,GetPageAnonymous,1764750254.029416,2044,0,1
4,GetPageAnonymous,1764750254.031469,2151,0,1
4,GetPageAnonymous,1764750254.033629,1901,0,1
4,GetPageAnonymous,1764750254.035557,2148,0,1
4,GetPageAnonymous,1764750254.037714,2185,0,1
3,UpdatePage,1764750254.039908,13088,0,1
4,GetPageAnonymous,1764750254.053011,2297,0,1
4,GetPageAnonymous,1764750254.055320,1854,0,1
4,GetPageAnonymous,1764750254.057210,2001,0,1
4,GetPageAnonymous,1764750254.059221,2184,0,1
4,GetPageAnonymous,1764750254.061415,1727,0,1
4,GetPageAnonymous,1764750254.063180,1721,0,1
3,UpdatePage,1764750254.064909,8989,0,1
4,GetPageAnonymous,1764750254.073910,1943,0,1
4,GetPageAnonymous,1764750254.075863,1993,0,1
4,GetPageAnonymous,1764750254.077865,1948,0,1
4,GetPageAnonymous,1764750254.079822,2015,0,1
4,GetPageAnonymous,1764750254.081845,1617,0,1
5,GetPageAuthenticated,1764750254.083471,4002,0,1
4,GetPageAnonymous,1764750254.087484,1809,0,1
4,GetPageAnonymous,1764750254.089303,1849,0,1
4,GetPageAnonymous,1764750254.091161,1473,0,1
4,GetPageAnonymous,1764750254.092642,1743,0,1
4,GetPageAnonymous,1764750254.094394,1503,0,1
4,GetPageAnonymous,1764750254.095904,1657,0,1
4,GetPageAnonymous,1764750254.097570,1593,0,1
4,GetPageAnonymous,1764750254.099170,1676,0,1
3,UpdatePage,1764750254.100855,10547,0,1
4,GetPageAnonymous,1764750254.111414,1631,0,1
4,GetPageAnonymous,1764750254.113056,1626,0,1
4,GetPageAnonymous,1764750254.114690,1602,0,1
4,GetPageAnonymous,1764750254.116299,1978,0,1
4,GetPageAnonymous,1764750254.118286,1735,0,1
4,GetPageAnonymous,1764750254.120049,1626,0,1
4,GetPageAnonymous,1764750254.121684,1406,0,1
4,GetPageAnonymous,1764750254.123123,1697,0,1
4,GetPageAnonymous,1764750254.124828,1320,0,1
4,GetPageAnonymous,1764750254.126156,1440,0,1
4,GetPageAnonymous,1764750254.127604,1675,0,1
4,GetPageAnonymous,1764750254.129287,1640,0,1
4,GetPageAnonymous,1764750254.130935,1539,0,1
4,GetPageAnonymous,1764750254.132481,1652,0,1
4,GetPageAnonymous,1764750254.134142,1362,0,1
4,GetPageAnonymous,1764750254.135540,1585,0,1
4,GetPageAnonymous,1764750254.137134,1246,0,1
4,GetPageAnonymous,1764750254.138388,1278,0,1
4,GetPageAnonymous,1764750254.139675,1798,0,1
4,GetPageAnonymous,1764750254.141484,1537,0,1
4,GetPageAnonymous,1764750254.143030,1667,0,1
4,GetPageAnonymous,1764750254.144706,1478,0,1
4,GetPageAnonymous,1764750254.146192,1624,0,1
4,GetPageAnonymous,1764750254.147825,1631,0,1
4,GetPageAnonymous,1764750254.149541,1535,0,1
4,GetPageAnonymous,1764750254.151107,1350,0,1
4,GetPageAnonymous,1764750254.152466,1312,0,1
4,GetPageAnonymous,1764750254.153787,1628,0,1
4,GetPageAnonymous,1764750254.155424,1455,0,1
4,GetPageAnonymous,1764750254.156887,1378,0,1
4,GetPageAnonymous,1764750254.158273,1291,0,1
4,GetPageAnonymous,1764750254.159573,1320,0,1
4,GetPageAnonymous,1764750254.160904,1287,0,1
4,GetPageAnonymous,1764750254.162198,1373,0,1
4,GetPageAnonymous,1764750254.163581,1295,0,1
4,GetPageAnonymous,1764750254.164885,1402,0,1
4,GetPageAnonymous,1764750254.166295,1150,0,1
3,UpdatePage,1764750254.167453,8104,0,1
4,GetPageAnonymous,1764750254.175576,1462,0,1
3,UpdatePage,1764750254.177051,8227,0,1
4,GetPageAnonymous,1764750254.185294,1327,0,1
4,GetPageAnonymous,1764750254.186631,1160,0,1
4,GetPageAnonymous,1764750254.187802,3963,0,1
3,UpdatePage,1764750254.191782,8196,0,1
4,GetPageAnonymous,1764750254.199992,1168,0,1
4,GetPageAnonymous,1764750254.201170,1013,0,1
4,GetPageAnonymous,1764750254.202192,894,0,1
4,GetPageAnonymous,1764750254.203093,1274,0,1
4,GetPageAnonymous,1764750254.204378,1291,0,1
4,GetPageAnonymous,1764750254.205683,1611,0,1
4,GetPageAnonymous,1764750254.207304,1407,0,1
4,GetPageAnonymous,1764750254.208721,1332,0,1
1,AddWatchList,1764750254.210062,5084,0,1
4,GetPageAnonymous,1764750254.215183,1690,0,1
4,GetPageAnonymous,1764750254.216887,1578,0,1
4,GetPageAnonymous,1764750254.218476,1335,0,1
4,GetPageAnonymous,1764750254.219821,1323,0,1
4,GetPageAnonymous,1764750254.221154,1230,0,1
4,GetPageAnonymous,1764750254.222394,1270,0,1
4,GetPageAnonymous,1764750254.223673,1466,0,1
4,GetPageAnonymous,1764750254.225149,1470,0,1
4,GetPageAnonymous,1764750254.226629,1268,0,1
4,GetPageAnonymous,1764750254.227906,1177,0,1
4,GetPageAnonymous,1764750254.229091,1135,0,1
4,GetPageAnonymous,1764750254.230236,1057,0,1
4,GetPageAnonymous,1764750254.231303,1210,0,1
4,GetPageAnonymous,1764750254.232522,1529,0,1
4,GetPageAnonymous,1764750254.234062,1266,0,1
4,GetPageAnonymous,1764750254.235337,1320,0,1
4,GetPageAnonymous,1764750254.236668,1492,0,1
3,UpdatePage,1764750254.238170,8266,0,1
4,GetPageAnonymous,1764750254.246454,1492,0,1
4,GetPageAnonymous,1764750254.247959,1207,0,1
4,GetPageAnonymous,1764750254.249173,1065,0,1
4,GetPageAnonymous,1764750254.250249,1364,0,1
4,GetPageAnonymous,1764750254.251622,1434,0,1
4,GetPageAnonymous,1764750254.253065,1498,0,1
4,GetPageAnonymous,1764750254.254573,1096,0,1
4,GetPageAnonymous,1764750254.255677,1217,0,1
4,GetPageAnonymous,1764750254.256903,1342,0,1
4,GetPageAnonymous,1764750254.258254,1033,0,1
4,GetPageAnonymous,1764750254.259294,1173,0,1
4,GetPageAnonymous,1764750254.260475,1306,0,1
3,UpdatePage,1764750254.261792,9492,0,1
4,GetPageAnonymous,1764750254.271300,1375,0,1
4,GetPageAnonymous,1764750254.272688,1404,0,1
4,GetPageAnonymous,1764750254.274105,1174,0,1
4,GetPageAnonymous,1764750254.275291,1305,0,1
4,GetPageAnonymous,1764750254.276656,1427,0,1
4,GetPageAnonymous,1764750254.278155,1169,0,1
4,GetPageAnonymous,1764750254.279350,1146,0,1
3,UpdatePage,1764750254.280505,7428,0,1
4,GetPageAnonymous,1764750254.287945,1139,0,1
4,GetPageAnonymous,1764750254.289093,1304,0,1
4,GetPageAnonymous,1764750254.290407,1070,0,1
4,GetPageAnonymous,1764750254.291485,1071,0,1
4,GetPageAnonymous,1764750254.292563,1147,0,1
4,GetPageAnonymous,1764750254.293722,1215,0,1
4,GetPageAnonymous,1764750254.294947,1259,0,1
4,GetPageAnonymous,1764750254.296217,1298,0,1
4,GetPageAnonymous,1764750254.297525,1341,0,1
3,UpdatePage,1764750254.298878,6665,0,1
3,UpdatePage,1764750254.305556,8702,0,1
4,GetPageAnonymous,1764750254.314275,1253,0,1
3,UpdatePage,1764750254.315539,6955,0,1
4,GetPageAnonymous,1764750254.322506,1075,0,1
4,GetPageAnonymous,1764750254.323590,999,0,1
4,GetPageAnonymous,1764750254.324600,1201,0,1
4,GetPageAnonymous,1764750254.325811,1093,0,1
4,GetPageAnonymous,1764750254.326912,1852,0,1
4,GetPageAnonymous,1764750254.328773,1248,0,1
4,GetPageAnonymous,1764750254.330030,1432,0,1
4,GetPageAnonymous,1764750254.331472,1314,0,1
4,GetPageAnonymous,1764750254.332796,1320,0,1
4,GetPageAnonymous,1764750254.334127,990,0,1
4,GetPageAnonymous,1764750254.335127,1018,0,1
4,GetPageAnonymous,1764750254.336154,1118,0,1
4,GetPageAnonymous,1764750254.337282,1228,0,1
4,GetPageAnonymous,1764750254.338520,1299,0,1
4,GetPageAnonymous,1764750254.339829,1341,0,1
4,GetPageAnonymous,1764750254.341181,1061,0,1
4,GetPageAnonymous,1764750254.342250,1441,0,1
4,GetPageAnonymous,1764750254.343702,1322,0,1
4,GetPageAnonymous,1764750254.345033,1066,0,1
4,GetPageAnonymous,1764750254.346110,1046,0,1
4,GetPageAnonymous,1764750254.347165,1310,0,1
4,GetPageAnonymous,1764750254.348486,978,0,1
4,GetPageAnonymous,1764750254.349472,1082,0,1
4,GetPageAnonymous,1764750254.350603,1155,0,1
4,GetPageAnonymous,1764750254.351766,1065,0,1
4,GetPageAnonymous,1764750254.352840,1035,0,1
4,GetPageAnonymous,1764750254.353884,1197,0,1
4,GetPageAnonymous,1764750254.355089,1316,0,1
4,GetPageAnonymous,1764750254.356414,1302,0,1
4,GetPageAnonymous,1764750254.357726,1177,0,1
4,GetPageAnonymous,1764750254.358914,1432,0,1
4,GetPageAnonymous,1764750254.360355,1323,0,1
4,GetPageAnonymous,1764750254.361689,1371,0,1
4,GetPageAnonymous,1764750254.363070,990,0,1
4,GetPageAnonymous,1764750254.364068,1100,0,1
4,GetPageAnonymous,1764750254.365179,1153,0,1
4,GetPageAnonymous,1764750254.366341,1379,0,1
4,GetPageAnonymous,1764750254.367730,1296,0,1
4,GetPageAnonymous,1764750254.369036,1298,0,1
4,GetPageAnonymous,1764750254.370344,1527,0,1
