Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.800,13.461,3.022,3.795,16.185,16.567,17.325,17.429,100.689,100.689,0.074
5,4.400,5.950,2.856,3.215,3.625,3.822,17.077,17.677,17.958,17.958,0.168
10,5.600,8.184,2.710,3.059,3.835,16.489,16.951,17.590,17.612,17.612,0.122
15,5.400,12.983,2.890,3.198,16.374,16.807,17.845,19.711,35.866,35.866,0.077
20,7.000,7.820,2.654,3.099,3.495,16.330,17.021,17.303,54.301,54.301,0.128
25,8.200,7.370,2.488,3.102,3.361,16.045,16.496,16.660,16.982,16.982,0.136
30,6.000,10.628,2.723,3.427,16.128,16.832,17.457,17.490,17.854,17.854,0.094
35,6.400,9.691,2.844,3.402,4.045,16.865,17.201,17.505,17.602,17.602,0.103
40,6.400,9.893,2.726,3.254,5.314,17.091,17.385,17.867,19.637,19.637,0.101
45,7.600,8.593,2.565,3.128,4.057,16.454,16.573,17.109,17.583,17.583,0.116
50,6.400,9.088,2.491,3.069,3.403,16.433,17.112,17.527,44.434,44.434,0.110
55,5.800,6.907,2.612,2.832,3.184,16.234,17.551,17.575,17.678,17.678,0.145
