Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,457.200,1.229,0.791,1.034,1.168,1.339,1.563,1.729,2.292,4.540,0.814
5,535.800,1.114,0.788,0.957,1.065,1.192,1.360,1.522,2.135,3.666,0.898
10,558.800,1.094,0.780,0.934,1.033,1.155,1.303,1.420,2.107,23.377,0.914
15,531.400,1.113,0.781,0.955,1.074,1.213,1.382,1.488,1.969,3.042,0.898
20,576.000,1.103,0.799,0.953,1.065,1.195,1.339,1.458,2.005,3.362,0.906
25,558.800,1.114,0.797,0.968,1.083,1.218,1.350,1.443,1.707,3.618,0.898
30,500.400,1.130,0.791,0.978,1.097,1.230,1.380,1.485,1.947,3.197,0.885
35,517.600,1.229,0.778,1.028,1.163,1.327,1.493,1.659,2.262,23.476,0.814
40,504.200,1.193,0.806,1.012,1.145,1.307,1.489,1.667,2.116,3.249,0.839
45,512.600,1.158,0.815,0.977,1.095,1.265,1.452,1.615,2.133,4.624,0.864
50,560.200,1.124,0.792,0.964,1.086,1.227,1.375,1.504,1.950,3.058,0.890
55,552.600,1.099,0.782,0.953,1.058,1.193,1.342,1.435,1.956,2.808,0.910
