Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.600,2.222,1.337,1.592,1.853,2.663,4.002,4.416,4.416,4.416,0.450
5,5.400,1.591,1.213,1.364,1.577,1.732,1.960,2.207,2.333,2.333,0.629
10,5.800,1.470,1.304,1.332,1.406,1.556,1.700,1.797,2.060,2.060,0.680
15,4.400,1.571,1.225,1.329,1.612,1.710,1.930,1.958,2.319,2.319,0.636
20,6.000,1.717,1.164,1.408,1.654,1.912,2.320,2.729,2.766,2.766,0.582
25,5.400,1.660,1.244,1.355,1.667,1.836,2.173,2.286,2.309,2.309,0.602
30,5.800,1.610,1.183,1.341,1.515,1.815,2.184,2.261,2.281,2.281,0.621
35,7.000,1.643,1.257,1.431,1.600,1.819,1.916,2.191,2.427,2.427,0.609
40,4.000,1.679,1.272,1.452,1.619,1.939,2.235,2.455,2.455,2.455,0.596
45,5.000,1.977,1.235,1.621,1.865,2.175,2.844,2.896,4.158,4.158,0.506
50,5.800,1.729,1.216,1.362,1.586,1.719,2.381,3.369,3.750,3.750,0.578
55,6.200,1.646,1.181,1.315,1.558,1.783,2.090,2.120,3.664,3.664,0.607
