Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.600,6.440,3.076,3.240,3.429,3.813,4.641,56.598,56.598,56.598,0.155
5,6.000,3.253,2.807,3.069,3.163,3.428,3.695,3.774,3.979,3.979,0.307
10,4.800,3.707,2.738,3.018,3.216,3.387,3.501,3.646,15.954,15.954,0.270
15,5.200,3.157,2.769,2.976,3.241,3.316,3.469,3.474,3.547,3.547,0.317
20,6.200,3.233,2.574,3.082,3.231,3.370,3.524,3.674,3.723,3.723,0.309
25,5.000,5.107,2.676,2.849,3.046,3.401,4.047,10.587,45.796,45.796,0.196
30,4.200,5.450,2.595,2.871,3.124,3.333,3.412,3.659,52.849,52.849,0.183
35,5.400,3.522,2.764,3.087,3.368,3.648,4.595,5.087,6.149,6.149,0.284
40,5.600,3.174,2.692,2.906,3.142,3.408,3.615,3.758,3.953,3.953,0.315
45,6.400,4.455,2.647,2.884,3.256,3.404,3.708,3.957,44.288,44.288,0.224
50,6.600,3.268,2.586,3.012,3.237,3.411,3.768,4.334,4.509,4.509,0.306
55,6.000,3.297,2.735,2.855,2.952,3.281,4.464,4.805,8.607,8.607,0.303
