Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,38.800,8.382,5.575,6.627,7.134,7.755,8.906,10.547,57.290,58.188,0.119
5,39.600,8.722,5.587,6.404,6.847,7.196,8.391,9.945,105.322,112.118,0.115
10,44.800,6.995,5.489,6.233,6.612,7.062,7.822,8.022,10.944,58.575,0.143
15,40.600,7.691,5.235,6.331,6.658,7.038,7.672,8.174,54.495,67.122,0.130
20,40.800,6.773,5.407,6.284,6.708,7.044,7.574,7.996,8.748,13.712,0.148
25,40.800,6.915,5.333,6.207,6.637,7.027,7.564,8.107,8.702,52.355,0.145
30,41.800,7.973,5.687,6.360,6.750,7.128,7.795,8.135,52.637,92.131,0.125
35,37.200,7.202,5.504,6.318,6.850,7.279,8.113,8.365,15.146,46.929,0.139
40,44.200,6.951,5.443,6.421,6.804,7.331,7.945,8.421,9.321,10.443,0.144
45,40.800,7.343,5.619,6.244,6.667,7.084,7.774,8.335,12.404,60.564,0.136
50,39.000,7.126,5.388,6.311,6.651,7.097,7.816,8.973,16.045,57.707,0.140
55,45.600,6.868,5.569,6.264,6.664,7.183,8.016,8.586,10.332,11.096,0.146
