Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,509.000,1.957,0.791,1.047,1.201,1.434,2.723,6.983,10.547,100.689,0.511
5,591.200,1.685,0.788,0.971,1.089,1.263,1.871,6.449,7.777,112.118,0.593
10,619.800,1.609,0.780,0.944,1.057,1.218,2.004,6.456,7.854,58.575,0.622
15,587.000,1.699,0.781,0.970,1.102,1.278,1.894,6.493,8.039,67.122,0.589
20,636.000,1.567,0.799,0.966,1.086,1.260,1.821,6.308,7.552,54.301,0.638
25,618.200,1.617,0.797,0.983,1.106,1.280,1.707,6.315,7.757,52.355,0.619
30,558.200,1.782,0.791,0.990,1.124,1.305,2.068,6.586,8.135,92.131,0.561
35,573.600,1.737,0.778,1.041,1.194,1.402,2.102,6.488,8.296,46.929,0.576
40,564.400,1.765,0.806,1.028,1.181,1.391,2.746,6.701,8.262,19.637,0.566
45,572.400,1.741,0.815,0.991,1.125,1.350,2.633,6.433,8.123,60.564,0.574
50,618.000,1.614,0.792,0.977,1.111,1.285,1.798,6.341,7.922,57.707,0.620
55,616.200,1.608,0.782,0.964,1.082,1.257,2.082,6.472,8.041,17.678,0.622
