Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,514,514.000,894,1197,1348,1934,1635,2567,7058,9492,15183
1,414,414.000,830,1070,1241,2497,1489,5970,7400,16437,100689
2,524,524.000,791,1041,1184,1831,1412,2156,6846,8676,53642
3,551,551.000,824,1019,1149,1818,1339,2723,6886,16185,17325
4,542,542.000,826,989,1114,1829,1270,2292,6700,16272,57290
5,649,649.000,798,969,1075,1534,1212,1633,6369,7583,17677
6,626,626.000,807,964,1067,1591,1225,1630,6084,8175,57187
7,646,646.000,824,977,1109,1548,1285,1917,6398,7135,16580
8,466,466.000,788,1013,1159,2130,1375,2352,6890,9248,105322
9,569,569.000,805,946,1065,1751,1230,2412,6524,7502,112118
10,617,617.000,818,966,1085,1614,1242,1725,6562,7825,21139
11,627,627.000,795,927,1049,1600,1216,2385,6511,7854,23377
12,617,617.000,787,934,1039,1607,1206,1592,6300,8420,58575
13,607,607.000,790,946,1052,1641,1199,2147,6562,8004,16951
14,631,631.000,780,946,1055,1581,1240,2315,6321,7340,16637
15,609,609.000,792,937,1064,1639,1234,1911,6614,8030,19711
16,583,583.000,824,1023,1150,1717,1292,1532,6493,16099,59457
17,610,610.000,806,945,1068,1626,1254,1737,6292,7495,37388
18,555,555.000,781,994,1138,1798,1401,2326,6550,7871,67122
19,578,578.000,796,943,1074,1725,1234,2976,6540,7848,54495
20,694,694.000,804,951,1071,1436,1218,1557,5900,6997,16330
21,619,619.000,822,996,1121,1618,1291,1841,6232,7390,54301
22,603,603.000,817,952,1067,1651,1266,2404,6595,7868,17303
23,640,640.000,799,970,1084,1554,1271,1630,6539,7596,16378
24,624,624.000,804,971,1084,1595,1254,2192,6284,7718,13712
25,601,601.000,812,1000,1124,1657,1280,1735,6513,8243,45796
26,651,651.000,797,950,1087,1531,1238,1537,6583,7400,16437
27,619,619.000,838,1020,1153,1610,1335,1728,6214,7726,16582
28,647,647.000,797,967,1071,1539,1225,1611,6145,7254,16470
29,573,573.000,805,970,1114,1763,1319,2783,6443,16319,52355
30,588,588.000,791,983,1115,1682,1261,1522,6251,16128,52637
31,565,565.000,808,1010,1128,1754,1316,3509,6622,7519,17457
32,567,567.000,829,967,1091,1762,1285,2068,6450,7896,92131
33,586,586.000,819,1000,1136,1703,1317,2766,6688,7799,16672
34,485,485.000,804,1022,1152,2049,1331,2158,6978,17340,53341
35,566,566.000,827,1142,1304,1764,1506,1893,6509,8248,17602
36,538,538.000,863,1151,1296,1845,1470,2267,6608,8252,46929
37,578,578.000,828,1037,1168,1724,1351,2047,6464,16253,17601
38,610,610.000,778,975,1099,1633,1259,1754,6270,8028,17411
39,576,576.000,779,990,1120,1731,1308,3084,6716,7651,23476
40,609,609.000,806,984,1095,1636,1281,1996,6415,8262,17385
41,574,574.000,815,989,1109,1741,1278,5828,6489,7928,16770
42,561,561.000,825,1014,1176,1772,1414,3142,6701,8207,16998
43,557,557.000,848,1083,1251,1788,1466,2221,6944,8432,19637
44,521,521.000,837,1127,1277,1909,1484,2726,7084,16782,17867
45,569,569.000,819,1114,1289,1749,1524,2354,6631,8335,16492
46,559,559.000,843,1045,1156,1781,1377,3042,6822,8123,17583
47,583,583.000,817,949,1060,1711,1237,1761,6158,7716,59263
48,546,546.000,832,961,1079,1826,1279,3520,6484,8116,60564
49,605,605.000,815,956,1059,1649,1238,2495,6256,7882,16665
50,616,616.000,793,962,1099,1618,1274,2136,6257,7501,17522
51,574,574.000,792,968,1097,1737,1268,2067,6511,9731,57707
52,637,637.000,802,953,1076,1574,1233,1642,6448,8233,17527
53,621,621.000,823,1006,1151,1594,1298,1582,6018,7477,44434
54,642,642.000,835,996,1140,1556,1327,1924,6251,7143,9479
55,577,577.000,818,992,1116,1722,1291,3060,6544,8586,16663
56,627,627.000,782,960,1077,1596,1241,1979,6562,7586,10461
57,660,660.000,823,955,1066,1510,1223,1722,6168,8290,16768
58,629,629.000,792,964,1080,1578,1287,2108,6385,7443,17575
59,588,588.000,791,963,1074,1647,1264,2289,6543,8100,17678
