Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,48.200,4.887,0.176,0.336,4.414,6.485,7.596,8.242,60.574,109.737,0.205
5,57.600,2.285,0.159,0.243,0.308,5.839,6.207,7.023,8.697,60.086,0.438
10,64.600,1.757,0.163,0.248,0.309,0.454,6.343,7.230,9.125,57.622,0.569
15,73.800,1.491,0.163,0.234,0.309,0.429,6.230,6.933,8.610,13.531,0.670
20,70.400,1.650,0.163,0.226,0.296,0.438,6.569,7.469,8.737,9.254,0.606
25,83.600,1.345,0.155,0.220,0.282,0.342,5.861,6.417,7.653,59.982,0.744
30,83.000,1.043,0.160,0.198,0.247,0.315,5.710,6.185,7.770,13.241,0.958
35,98.600,1.102,0.158,0.225,0.290,0.380,5.588,6.510,7.580,58.381,0.908
40,92.400,0.812,0.158,0.212,0.269,0.351,0.549,5.718,7.380,9.334,1.231
45,99.800,0.881,0.159,0.222,0.271,0.332,0.466,6.288,8.209,58.418,1.135
50,122.400,0.660,0.156,0.198,0.251,0.313,0.414,5.612,7.186,9.334,1.515
55,125.400,0.622,0.158,0.206,0.258,0.319,0.429,5.528,7.880,12.352,1.607
