Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.600,7.251,5.582,5.919,6.358,7.190,8.189,8.784,59.306,59.306,0.138
5,35.600,7.298,4.153,5.965,6.159,6.868,7.364,8.548,60.422,61.796,0.137
10,36.000,7.075,4.321,6.132,6.462,7.232,8.239,9.088,11.562,58.343,0.141
15,33.800,7.486,4.180,6.020,6.460,7.435,8.871,9.711,59.263,61.146,0.134
20,39.800,7.637,4.205,5.892,6.217,7.024,8.036,8.577,63.246,117.399,0.131
25,44.600,6.749,4.110,5.915,6.195,7.130,7.703,8.341,11.152,61.209,0.148
30,43.400,6.786,4.002,5.733,5.989,6.843,7.573,8.344,12.984,60.566,0.147
35,46.600,6.912,4.192,5.826,6.374,7.136,7.710,8.431,11.731,59.599,0.145
40,54.000,6.884,3.956,5.678,6.200,6.818,7.423,7.977,45.595,61.534,0.145
45,51.800,6.983,3.990,5.709,6.175,6.947,7.669,8.099,55.791,61.707,0.143
50,59.000,6.484,3.967,5.655,5.963,6.866,7.782,8.082,11.003,60.141,0.154
55,54.200,6.855,4.026,5.698,6.095,6.907,7.548,8.144,54.054,58.501,0.146
