Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,43.800,4.740,0.255,0.481,5.645,6.684,7.709,8.670,57.720,105.223,0.211
5,60.200,2.467,0.233,0.340,0.417,5.948,6.389,7.118,8.802,60.187,0.405
10,62.600,2.445,0.235,0.364,0.458,6.020,6.925,7.575,8.887,61.011,0.409
15,66.800,2.270,0.227,0.351,0.439,0.936,6.667,7.360,9.096,64.806,0.441
20,81.400,1.625,0.235,0.324,0.396,0.525,6.177,7.136,8.655,60.226,0.615
25,87.800,1.365,0.234,0.319,0.390,0.486,6.044,6.515,7.647,10.681,0.733
30,85.800,1.777,0.219,0.293,0.361,0.448,5.840,6.749,8.314,61.222,0.563
35,90.800,1.023,0.228,0.313,0.397,0.485,0.824,6.363,8.227,10.624,0.977
40,101.200,0.853,0.230,0.319,0.390,0.492,0.729,5.706,7.120,8.334,1.172
45,103.800,0.864,0.226,0.310,0.373,0.473,0.613,6.000,7.393,50.516,1.157
50,119.800,0.760,0.231,0.295,0.352,0.434,0.576,5.740,7.307,8.336,1.317
55,125.600,0.688,0.223,0.305,0.366,0.453,0.585,1.915,7.277,8.591,1.454
