Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,227.400,0.374,0.141,0.241,0.317,0.407,0.523,0.611,0.931,16.125,2.673
5,314.400,0.248,0.138,0.189,0.236,0.285,0.334,0.375,0.489,4.259,4.028
10,308.600,0.264,0.139,0.192,0.250,0.309,0.377,0.422,0.527,4.368,3.787
15,330.800,0.266,0.139,0.189,0.245,0.311,0.391,0.457,0.579,1.791,3.760
20,385.400,0.250,0.139,0.186,0.238,0.292,0.350,0.396,0.529,1.035,3.992
25,416.000,0.243,0.137,0.183,0.231,0.285,0.330,0.366,0.481,4.246,4.111
30,440.200,0.225,0.131,0.169,0.209,0.261,0.311,0.350,0.462,1.301,4.450
35,461.200,0.252,0.135,0.179,0.238,0.300,0.370,0.424,0.535,0.852,3.969
40,483.000,0.247,0.137,0.179,0.231,0.290,0.350,0.408,0.524,1.279,4.056
45,511.600,0.248,0.133,0.179,0.234,0.292,0.352,0.403,0.503,1.855,4.036
50,585.200,0.231,0.132,0.170,0.214,0.270,0.328,0.371,0.461,1.481,4.336
55,626.200,0.239,0.131,0.174,0.219,0.279,0.336,0.386,0.554,2.312,4.186
