Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,67.200,2.741,0.424,1.465,2.509,3.701,4.632,5.033,8.411,10.754,0.365
5,95.400,2.480,0.294,1.239,2.305,3.453,4.358,5.251,8.502,10.530,0.403
10,96.400,2.779,0.250,1.268,2.439,3.611,4.966,6.221,8.882,55.577,0.360
15,100.200,2.455,0.259,1.138,2.152,3.185,4.686,5.660,8.725,17.110,0.407
20,112.400,2.135,0.270,0.964,1.821,2.959,4.223,5.225,7.105,8.630,0.468
25,129.400,1.977,0.272,0.819,1.763,2.716,3.499,4.793,7.260,8.894,0.506
30,130.000,1.961,0.259,0.739,1.593,2.572,3.656,4.697,6.821,58.047,0.510
35,136.600,1.796,0.241,0.699,1.474,2.364,3.407,4.785,7.337,8.895,0.557
40,143.400,1.723,0.258,0.651,1.351,2.215,3.114,4.321,6.008,55.883,0.580
45,147.800,1.572,0.247,0.624,1.304,2.040,3.170,4.470,5.651,11.122,0.636
50,186.800,1.270,0.249,0.490,0.983,1.631,2.480,3.511,5.199,9.639,0.787
55,187.800,1.211,0.253,0.483,0.879,1.577,2.371,3.092,5.673,13.064,0.826
