Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,40.800,3.820,0.200,0.369,5.798,6.690,7.574,8.437,9.128,22.866,0.262
5,59.800,2.370,0.174,0.253,0.334,5.966,6.902,7.297,9.020,10.412,0.422
10,59.000,2.143,0.167,0.249,0.323,4.748,6.645,7.305,8.927,63.419,0.467
15,69.200,2.113,0.169,0.260,0.331,4.350,6.933,7.646,9.165,63.323,0.473
20,80.600,1.319,0.171,0.226,0.279,0.371,5.922,6.287,8.264,58.377,0.758
25,81.600,1.297,0.166,0.226,0.284,0.352,6.040,6.769,8.906,60.458,0.771
30,95.000,1.147,0.168,0.216,0.273,0.333,5.716,6.067,8.251,60.232,0.872
35,100.000,1.095,0.169,0.235,0.294,0.380,5.615,6.413,7.977,59.408,0.913
40,92.600,1.032,0.169,0.233,0.300,0.371,0.609,6.018,8.172,58.210,0.969
45,101.000,0.957,0.169,0.233,0.292,0.366,0.576,6.509,7.912,57.584,1.045
50,115.800,0.582,0.165,0.213,0.256,0.314,0.421,5.410,7.112,7.869,1.720
55,132.800,0.602,0.162,0.214,0.272,0.338,0.452,4.332,7.222,9.087,1.660
