Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,445.000,2.238,0.141,0.298,0.429,3.310,6.513,7.255,9.128,109.737,0.447
5,623.000,1.599,0.138,0.222,0.299,1.600,6.029,6.504,8.348,61.796,0.625
10,627.200,1.590,0.139,0.235,0.320,1.245,6.180,6.861,8.740,63.419,0.629
15,674.600,1.475,0.139,0.227,0.318,0.820,5.977,6.834,8.871,64.806,0.678
20,770.000,1.292,0.139,0.219,0.294,0.529,5.760,6.366,8.273,117.399,0.774
25,843.000,1.182,0.137,0.215,0.289,0.498,4.647,6.203,7.652,61.209,0.846
30,877.400,1.136,0.131,0.196,0.264,0.420,4.199,5.924,7.739,61.222,0.881
35,933.800,1.065,0.135,0.217,0.299,0.476,3.262,6.224,7.660,59.599,0.939
40,966.600,1.029,0.137,0.211,0.292,0.468,2.821,5.945,7.378,61.534,0.972
45,1015.800,0.980,0.133,0.216,0.290,0.443,2.365,5.944,7.575,61.707,1.021
50,1189.000,0.836,0.132,0.199,0.270,0.405,1.811,5.699,7.310,60.141,1.196
55,1252.000,0.793,0.131,0.203,0.275,0.407,1.537,5.629,7.236,58.501,1.261
