Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,301,301.000,175,443,734,3315,6008,7151,8314,12051,61344
1,528,528.000,155,292,405,1893,3140,6072,6946,7854,18633
2,377,377.000,146,290,403,2641,3262,6693,7658,57720,105223
3,530,530.000,151,317,466,1879,2599,6380,7302,8758,22866
4,489,489.000,141,255,333,2024,1586,6078,7075,9128,109737
5,632,632.000,139,251,336,1579,1825,5963,6841,8348,11212
6,522,522.000,146,216,291,1904,1519,6108,7024,9870,60422
7,684,684.000,145,221,291,1454,1475,6005,6423,8142,9632
8,613,613.000,141,220,291,1626,1376,6030,6308,8240,61796
9,664,664.000,138,213,289,1501,1564,6031,6285,7436,8659
10,588,588.000,140,227,295,1701,926,6026,6925,9088,63419
11,674,674.000,139,216,290,1468,1621,6090,6408,7359,9153
12,656,656.000,146,243,339,1601,754,6202,6782,8740,57622
13,593,593.000,142,248,338,1591,1356,6261,7358,9068,10303
14,625,625.000,140,251,345,1601,1359,6296,7028,8124,10856
15,552,552.000,142,210,288,1793,1216,6073,6949,10433,64806
16,733,733.000,139,209,291,1359,748,5847,6187,7832,14480
17,692,692.000,139,238,343,1439,614,6197,7159,8871,17110
18,724,724.000,141,216,309,1372,785,5997,6917,8368,9711
19,672,672.000,145,271,365,1485,871,6003,6853,9195,63323
20,795,795.000,139,219,302,1253,578,5791,6545,8066,8876
21,744,744.000,139,207,278,1337,497,5770,6199,8630,63246
22,729,729.000,142,237,324,1361,584,6012,7162,8655,58377
23,627,627.000,144,243,320,1593,649,5914,6530,8296,117399
24,955,955.000,141,205,268,1039,418,4507,5926,6999,8791
25,774,774.000,137,211,289,1288,577,5659,5993,7517,59982
26,857,857.000,143,221,292,1161,514,4490,6286,7857,9040
27,828,828.000,148,221,301,1208,526,6020,6907,7845,11152
28,868,868.000,148,220,292,1148,403,3748,6158,7722,61209
29,888,888.000,140,204,276,1115,602,4510,6028,7330,9241
30,771,771.000,139,194,252,1293,381,5667,5989,9594,60232
31,970,970.000,131,194,259,1026,400,4452,5921,7233,12984
32,838,838.000,139,190,263,1189,415,4033,5880,7213,61222
33,1032,1032.000,141,198,267,965,413,2984,5849,7140,9446
34,776,776.000,140,207,280,1282,519,4850,6212,7938,61015
35,906,906.000,139,235,320,1098,502,4212,6403,7587,10437
36,793,793.000,138,221,299,1257,469,3970,6312,8434,59599
37,992,992.000,139,198,277,999,454,2979,5815,7330,47530
38,905,905.000,140,254,338,1098,546,3246,6464,7770,11029
39,1073,1073.000,135,195,267,926,402,2529,5852,7710,8257
40,955,955.000,138,232,321,1056,554,2724,6176,7789,58210
41,948,948.000,137,199,268,1039,390,2352,5686,7502,61534
42,971,971.000,139,226,310,1019,509,2907,6181,7208,9334
43,974,974.000,137,203,289,1022,440,2803,5650,7270,52022
44,985,985.000,139,202,284,1008,446,4185,5902,7362,9449
45,989,989.000,139,231,299,1005,441,2470,5948,7699,55791
46,1069,1069.000,133,227,308,934,488,2476,5984,7657,9208
47,1002,1002.000,139,191,259,990,371,2330,5684,6871,61707
48,1093,1093.000,141,205,284,908,437,2169,6059,7390,10506
49,926,926.000,139,227,296,1077,457,2571,6175,8193,58418
50,1211,1211.000,136,199,268,818,398,1785,5823,7271,8579
51,1126,1126.000,140,215,295,882,440,2042,5850,7891,10070
52,1199,1199.000,138,213,290,828,431,1829,5752,7080,8984
53,1132,1132.000,132,192,256,879,374,1989,5651,7850,60141
54,1277,1277.000,140,184,249,778,360,1644,5605,6866,8082
55,1361,1361.000,131,190,251,742,363,1338,5515,6868,58501
56,1153,1153.000,141,230,311,847,458,1714,6070,7357,9304
57,1330,1330.000,135,206,281,748,417,1407,5517,7304,13064
58,1025,1025.000,138,218,299,970,457,1901,5948,8045,56232
59,1391,1391.000,136,190,250,710,360,1142,5614,7042,9240
